pid	title	year	publisher	verdict	confidence	reason
publication:bencom:68cd537e2bf498df	新時代における刑事実務	2017	立花書房	book	high	国立国会図書館サーチおよび各書店で単行本として確認。ISBN(978-4803724851)を持ち、512ページ、編集代表(髙嶋智光・園原敏彦)を持つ刑事実務の実務書・体系書である。号数表記(年月号・巻号・通巻等)や定期刊行物名は一切なく、立花書房刊の単発の書籍。既存メモのjournal_issue分類は誤りで、bookが正しい。
publication:bencom:b61e4a18e2f3d6a8	新訂 警察実務家による「刑事学」講義ノート	2010	立花書房	book	high	「新訂」は版表示(改訂版)であり、号数表記(YYYY年M月号・第N巻第N号・通巻等)や定期刊行物名を含まない。タイトル「警察実務家による『刑事学』講義ノート」は実務書・体系書(講義録)の単行本であり、立花書房刊の単行本として刊行されたモノグラフ。既存メモのjournal_issueは誤分類で、bookが正しい。
publication:bencom:cf4228275b2f55db	条文あてはめ刑法	2019	立花書房	book	high	粟田知穂による単著の実務書(副題「事案処理に向けた実体法の解釈」、立花書房2019年刊、384頁、ISBN978-4803743456)。CiNiiでも「図書」として登録されており、定期刊行物名や号数表記は一切ない。既存メモの通り、雑誌の号への誤分類であり、単行本(book)が正しい。
publication:bencom:3f29e77046711ced	条文でつなぐ警察と検察(上)	2025	立花書房	book	high	タイトル「条文でつなぐ警察と検察(上)」は立花書房刊の単行本(実務書/体系書)であり、「(上)」は複数巻構成の上巻を示す巻次表記。「YYYY年M月号」「第N巻第N号」「通巻」等の定期刊行物の号数表記や雑誌名を一切含まない。既存メモ「misclassified_as_journal_issue」が示す通り、雑誌の号への分類は誤りで、bookが正しい。
publication:bencom:ad6ede0e64033ed7	条文でつなぐ警察と検察(下)	2025	立花書房	book	high	立花書房公式サイトで「単行本」カテゴリに分類される全3巻（上・中・下）の電子書籍。著者は阪井光平(元検事)で、警察公論の連載記事(2024年2月〜2025年2月)を「警察公論セレクション」として単行本化したモノグラフ。「(下)」は雑誌の号数ではなく多巻本の巻次表示であり、号数表記(◯年◯月号・第◯巻第◯号等)を持たない。したがってjournal_issueではなくbookが正しく、既存メモmisclassified_as_journal_issueと整合する。
publication:bencom:b896dce6b0381b0b	条文でつなぐ警察と検察(中)	2025	立花書房	book	high	立花書房の公式サイトで「単行本」カテゴリに掲載される『条文でつなぐ警察と検察(中)』。雑誌『警察公論』の連載をまとめた書籍(警察公論セレクション)で、上・中・下の3分冊構成。「(中)」は号数ではなく多巻本の巻表示であり、「YYYY年M月号」「第N巻第N号」等の定期刊行物の号数表記を含まない。よって既存メモ(misclassified_as_journal_issue)のとおり誤分類で、正しくはbook。
publication:bencom:8834b0a90088398e	植村立郎判事退官記念論文集 第一巻	2011	立花書房	book	high	「植村立郎判事退官記念論文集」は退官記念の論文集(記念企画の単行本)であり、定期刊行物名や「YYYY年M月号」「第N巻第N号」等の号数表記を含まない。「第一巻」は複数巻構成の単行本の巻次を示すもので雑誌の号数ではない。出版社も雑誌ではなく書籍刊行であり、book(モノグラフ/論文集)が妥当。既存メモのjournal_issue分類は誤り。
publication:bencom:9ed05a6cce46b22b	植村立郎判事退官記念論文集 第三巻	2011	立花書房	book	high	「植村立郎判事退官記念論文集」は判事の退官を記念して刊行された記念論文集(フェストシュリフト)であり、単発の書籍として刊行された単行本である。「第三巻」は定期刊行物の号数ではなく、多巻本の巻次を示すもので、定期刊行物名・号数表記(YYYY年M月号、第N巻第N号、通巻等)は存在しない。出版社も立花書房(法律実務書の単行本出版社)であり、雑誌の一号ではない。既存メモのjournal_issueは誤分類。
publication:bencom:f3ea0201808d0c38	植村立郎判事退官記念論文集 第二巻	2011	立花書房	book	high	「植村立郎判事退官記念論文集」は退官記念の論文集(記念論文集=Festschrift)であり、単発で刊行される単行本。「第二巻」は多巻本の巻数表示であって定期刊行物の号数ではなく、雑誌名や「YYYY年M月号」「第N巻第N号」「通巻」等の定期刊行物を示す表記もない。出版社・立花書房から刊行された書籍であり、既存メモのjournal_issue分類は誤り。したがってbookと判定。
publication:bencom:0bbb2fad4d7ea24c	検事の仕事	2013	立花書房	book	high	「検事の仕事 ある新任検事の軌跡」は阪井光平による単著の実務書・単行本(立花書房、2013年、240頁、ISBN 978-4-8037-4029-5)。号数表記や定期刊行物名はなく、出版社サイト・Amazon・紀伊國屋でも単行本として扱われている。既存メモのmisclassified_as_journal_issueは誤分類であり、正しくはbook。
publication:bencom:2ca53aaaf60215c9	検察官から見た警察捜査のポイント	2025	立花書房	book	high	タイトル「検察官から見た警察捜査のポイント」は号数表記(○年○月号・第N巻第N号・通巻等)を一切含まず、特定テーマの実務解説書である。出版社の立花書房は警察・刑事司法分野の実務書を多数刊行する出版社であり、本書も単行本(実務書)と判断できる。定期刊行物名や号数の手掛かりがないため、既存メモの「misclassified_as_journal_issue」は誤りで、bookが妥当。
publication:bencom:6d1d80363d67152a	業務上過失事件捜査実務必携	2024	立花書房	book	high	「業務上過失事件捜査実務必携」は那須修ほか執筆、立花書房から2024年4月刊行の実務書(単行本)。「実務必携」は同社の「地域警察官実務必携」等と同系の単発刊行の実務マニュアルで、「YYYY年M月号」「第N巻第N号」などの号数表記や定期刊行物名を一切含まない。よってbookと判定。既存メモのmisclassified_as_journal_issueとも整合。
publication:bencom:ef5ede8a2470f87c	殺傷犯捜査全書	2018	立花書房	book	high	タイトル「殺傷犯捜査全書」の「全書」は網羅的な単行本・体系書を示す語であり、号数表記(YYYY年M月号、第N巻第N号、通巻等)や定期刊行物名を一切含まない。出版社の立花書房は警察実務書を多く刊行する版元で、本書は捜査実務の体系書・実務書と判断できる。既存メモも誤分類(misclassified_as_journal_issue)を指摘しており、bookが妥当。
publication:bencom:cc53bc4524973c48	民事事実認定重要判決50選	2015	立花書房	book	high	タイトル「民事事実認定重要判決50選」は判例を精選した「○○50選」型のアンソロジー単行本の典型で、立花書房刊の実務書・体系書に該当する。号数表記(YYYY年M月号、第N巻第N号、通巻、創刊号等)や定期刊行物名を一切含まず、雑誌の一号を示す要素がない。既存メモも「misclassified_as_journal_issue」と誤分類を指摘しており、bookと判定する。
publication:bencom:dd447f932b33b712	注釈銃砲刀剣類所持等取締法〔第3版〕	2022	立花書房	book	high	タイトル「注釈銃砲刀剣類所持等取締法」は特定法令のコンメンタール(注釈書)であり、〔第3版〕という版表示を伴う。号数表記(YYYY年M月号・第N巻第N号・通巻等)や定期刊行物名は一切含まれず、立花書房刊行の法律実務書・体系書に該当する。既存メモ通り雑誌号への誤分類であり、bookが正しい。
publication:bencom:53c7ced12ad5669c	注釈風俗営業法	2022	立花書房	book	high	タイトル「注釈風俗営業法」は「注釈」を冠するコンメンタール(逐条解説書)であり、典型的な単行本・実務書の形態。号数表記(年月号・巻号・通巻等)や定期刊行物名を一切含まない。出版社の立花書房は法律・警察実務書を扱う書籍出版社。既存メモのjournal_issue分類は誤りでbookが妥当。
publication:bencom:c618eed507b3ae04	犯罪収益規制と財産回復	2010	立花書房	book	high	CiNii Research上で単行本として登録。副題「アセット・リカバリーの国際的潮流と日本の実務への示唆」を持つ単独著者(津田尊弘)のモノグラフ・実務書で、立花書房から2010年11月刊行、ISBN 9784803742565、NDC 338.9、巻末に参考文献(pp.123-124)あり。巻号表記(第N巻第N号・YYYY年M月号等)や定期刊行物名は一切なく、雑誌の号ではない。既存メモのmisclassified_as_journal_issueと一致しbookと判定。
publication:bencom:dd1c7b1c68c3360b	現場警察幹部のための判例・裁判例の実務的検討～傷害編～	2025	立花書房	book	high	タイトル「現場警察幹部のための判例・裁判例の実務的検討～傷害編～」は実務書・解説書であり、「YYYY年M月号」「第N巻第N号」「通巻」等の号数表記や定期刊行物名を一切含まない。「～傷害編～」はシリーズの主題分冊を示すもので雑誌の号ではない。出版社の立花書房は警察・法律分野の単行本を多く刊行する書房であり、単発の実務書(モノグラフ)として刊行されていると判断できる。既存メモのjournal_issue分類は誤りで、bookが正しい。
publication:bencom:a8701b85c68a7d40	現場警察幹部のための判例・裁判例の実務的検討～暴行編～	2025	立花書房	book	high	立花書房の商品ページによれば、本作は河原俊也氏が『警察学論集』2020-2021年の各号に掲載した複数論文を再編集・集成した独立タイトルの電子書籍であり、「乳幼児揺さぶられ症候群（SBS）に関する近時の裁判例の紹介」も併録する実務書。タイトルに「YYYY年M月号」「第N巻第N号」等の定期刊行物の号数表記はなく、定期刊行物の一号そのものではない。雑誌掲載論文を基にした単発の実務書（モノグラフ）であるためbookと判定。既存メモのmisclassified_as_journal_issueとも整合する。
publication:bencom:c983db42b8eb7e56	番号法の逐条解説〔第2版〕	2016	有斐閣	book	high	「番号法の逐条解説」は条文ごとの解説(コンメンタール)であり単行の実務書。〔第2版〕という版表示があり、判定基準上bookに該当。号数表記(年月号・巻号・通巻等)や定期刊行物名は一切なく、有斐閣刊の体系的解説書。既存メモのmisclassified_as_journal_issueとも整合し、正しくはbook。
publication:bencom:66b459b32e24b681	盗犯捜査全書	2016	立花書房	book	high	「盗犯捜査全書―理論と実務の詳解」は城祐一郎による単独著者の実務書・体系書で、立花書房から2016年3月に単行本(ISBN 978-4803742725、税込3,630円)として刊行されている。号数表記や定期刊行物名は一切なく、立花書房の「単行本」カテゴリに収録。CiNii・NDLでも書籍として登録されており、明確にbook。既存メモのjournal_issueは誤分類。
publication:bencom:c7a1edae5e94f2f3	秘密保持契約書・共同開発契約書 第二版	2022	日本商事仲裁協会	book	high	タイトルが「秘密保持契約書・共同開発契約書」という契約実務書で、「第二版」という版表示があるため、定期刊行物の号ではなく単行本(実務書)である。号数表記(YYYY年M月号・第N巻第N号・通巻等)や定期刊行物名は含まれない。版表示があるものは通常bookであり、既存メモのjournal_issue分類は誤りと判断。
publication:bencom:1c7e6b9ac015ec3f	組織的犯罪処罰法ハンドブック	2019	立花書房	book	high	CiNii「図書」に単行本として登録され、ISBN(9784803743449)・374頁・加藤俊治編という単一の実務書(逐条解説・コンメンタール)である。号数表記や定期刊行物名は一切なく、立花書房から2019年8月に単発刊行された単行本であるため明確にbook。既存メモのmisclassified_as_journal_issueは誤分類を示す。
publication:bencom:7764b09e8e8d178b	総代理店契約書【輸入用】 第二版	2024	日本商事仲裁協会	book	high	タイトル「総代理店契約書【輸入用】 第二版」は契約書式・実務書であり、「第二版」という版表示を伴う単行本である。号数表記(YYYY年M月号、第N巻第N号、通巻など)や定期刊行物名を含まず、発行元の日本商事仲裁協会から刊行された実務向けモノグラフと判断できる。版表示があるものは通常bookという基準にも合致し、既存メモの誤分類(journal_issue)を訂正してbookとする。
publication:bencom:cdfac0393fdcd4a7	総代理店契約書【輸出用】 第二版	2024	日本商事仲裁協会	book	high	タイトル「総代理店契約書【輸出用】 第二版」に「第二版」という版表示があり、定期刊行物名や「YYYY年M月号」「第N巻第N号」「通巻」等の号数表記が一切ない。内容も契約書式の実務書(単行本)であり、出版社の日本商事仲裁協会が刊行する単発の書籍と判断できる。既存メモのjournal_issueは誤分類で、bookが正しい。
publication:bencom:50efa237261a725f	規範あてはめ刑事訴訟法	2021	立花書房	book	high	タイトル「規範あてはめ刑事訴訟法」は刑事訴訟法の実務書・体系書であり、号数表記(○年○月号、第○巻第○号、通巻等)や定期刊行物名を一切含まない。出版社の立花書房は法律・警察実務系の単行本を多数刊行する書籍出版社。単発の単行本(モノグラフ)と判断でき、既存メモの「雑誌の号への誤分類」も裏付けとなる。したがってbookが妥当。
publication:bencom:bf5202d2b115f150	警察官のためのデジタル・フォレンジック捜査入門	2024	立花書房	book	high	タイトル「警察官のためのデジタル・フォレンジック捜査入門」は「入門」を冠した実務書・単行本であり、「年月号」「第N巻第N号」「通巻」等の号数表記や定期刊行物名を一切含まない。立花書房は警察・刑事実務書の出版社であり、内容も単発の実務解説書と判断できる。既存メモも「misclassified_as_journal_issue」とあり、雑誌号への誤分類を示している。したがってbookが妥当。
publication:bencom:c13a5a2a154560d1	警察官のためのわかりやすい刑事訴訟法〔第2版〕	2019	立花書房	book	high	タイトルに版表示〔第2版〕があり、内容は警察官向けの刑事訴訟法実務解説書(単行本)。立花書房刊の実務書で、雑誌名や号数(○年○月号、第N巻第N号、通巻等)の定期刊行物表記が一切ない。既存メモのjournal_issueは誤分類であり、bookが正しい。
publication:bencom:606d0f5232f506d7	警察官のためのわかりやすい刑法〔第2版〕	2024	立花書房	book	high	タイトルに版表示「〔第2版〕」があり、判定基準で版表示があるものは通常book。立花書房刊行の実務向け刑法解説書(単行本)であり、「YYYY年M月号」「第N巻第N号」「通巻」等の号数表記や定期刊行物名を含まない。既存メモ misclassified_as_journal_issue の通り、雑誌の号への誤分類であり、正しくはbook。
publication:bencom:5f1397721d0f2e6b	警察官のための剣道	2012	立花書房	book	high	タイトル「警察官のための剣道」は剣道の実務・指導書(モノグラフ)であり、号数表記(年月号・巻号・通巻・創刊号等)や定期刊行物名を一切含まない。出版社の立花書房は警察・実務書を多く刊行する版元で、本書は単行本として刊行されている。既存メモもjournal_issueへの誤分類を示唆しており、bookと判定する。
publication:bencom:4ca6c75507e796df	警察官のための死体の取扱い実務ハンドブック	2022	立花書房	book	high	タイトルが「実務ハンドブック」であり、特定主題(警察官の死体取扱い実務)を扱う単行本・実務書。定期刊行物名や号数表記(YYYY年M月号・第N巻第N号・通巻・創刊号など)は一切なく、出版社の立花書房も警察・法律実務書の単行本を多数刊行。既存メモのとおりjournal_issueは誤分類で、bookが正しい。
publication:bencom:333895cd8e6f7b9a	警察実務重要裁判例 令和6年版	2024	立花書房	book	high	「令和6年版」は年版(版表示)であり、定期刊行物の号数表記(○年○月号・第N巻第N号・通巻等)ではない。タイトルは裁判例をまとめた実務書・年版書籍であり、立花書房刊の単行本として毎年版を重ねる体裁。既存メモのmisclassified_as_journal_issueとも整合し、bookと判定。
publication:bencom:124889fb14e0b72a	警察教養のこころ	2015	立花書房	book	high	中川正浩著の単行本(副題「警察幹部へのメッセージ」、ISBN978-4803701425、215頁)。CiNiiでは「図書(book)」として登録され、号数・巻号表記や定期刊行物名を持たない。立花書房刊の実務・教養書であり、既存メモ「misclassified_as_journal_issue」が示す通り雑誌の号ではなく書籍。
publication:bencom:55d52cd4e19696c1	販売基本契約書 第二版	2022	日本商事仲裁協会	book	high	タイトル「販売基本契約書 第二版」に版表示(第二版)があり、号数表記(YYYY年M月号・第N巻第N号・通巻等)や定期刊行物名を含まない。日本商事仲裁協会刊行の契約書ひな型・実務書(単行本)であり、定期刊行物の一号ではない。既存メモの journal_issue 分類は誤りで、book が正しい。
publication:bencom:29835fcc6ce3a91a	責任能力をめぐる捜査上の諸問題	2025	立花書房	book	high	立花書房の単独商品ページ(detail/4024)を持つ単行本(電子書籍)で、横田正久氏による単著モノグラフ。警察学論集2023年掲載の論文3本を編集・収録した実務向け書籍であり、タイトルに号数表記(YYYY年M月号・第N巻第N号等)も定期刊行物名も含まない。元論文が雑誌掲載だったため誤分類されたと考えられるが、刊行物自体は単発の書籍であるためbookが正しい。
publication:bencom:b089951b2b90203e	過失犯 犯罪事実記載要領〔第2版〕	2019	立花書房	book	high	タイトルに版表示〔第2版〕があり、定期刊行物名や「YYYY年M月号」「第N巻第N号」「通巻」等の号数表記が一切ない。立花書房刊の犯罪事実記載要領は実務書(単行本)であり、既存メモの journal_issue は誤分類。よって book と判定。
publication:bencom:c1220c8c4412a9a5	風俗事犯捜査ハンドブック	2023	立花書房	book	high	タイトル「風俗事犯捜査ハンドブック」は捜査実務向けの単行本(ハンドブック)であり、「○年○月号」「第N巻第N号」「通巻」等の号数表記や定期刊行物名を一切含まない。出版社の立花書房は警察・法律実務書を多数刊行しており、本書は単発の実務書(モノグラフ)と判断できる。既存メモのjournal_issueは誤分類でbookが正しい。
publication:bencom:cf3253af6b757aea	風俗営業法判例集〔改訂版〕	2016	立花書房	book	high	タイトル「風俗営業法判例集〔改訂版〕」は判例を編纂した単行の実務書であり、〔改訂版〕という版表示を含む。号数表記(YYYY年M月号・第N巻第N号・通巻等)や定期刊行物名は一切なく、立花書房刊の判例集(モノグラフ)である。既存メモ通り雑誌号への誤分類であり、bookが正しい。
