case_name_normalized,court,date,variant_names,article_ids,n_articles,is_hanrei_hyoshaku,distinct_case_names,is_possibly_overmerged
市町村の施行に係る土地区画整理事業の事業計画の決定と抗告訴訟,,平成20.9.10,市町村の施行に係る土地区画整理事業の事業計画の決定と抗告訴訟|土地区画整理事業計画訴訟|浜松市土地区画整理事業事件|土地区画整理事業計画決定取消請求事件|土地区画整理事業の事業計画決定は抗告訴訟|土地区画整理事業計画決定事件|土地区画整理事業の事業計画の決定が取消訴訟|土地区画整理事業計画の決定と抗告訴訟|土地区画整理事業訴訟,isbn:bj-206#p216|isbn:bj-240#p140|isbn:最高裁判所判例解説――民事篇<平成20年度>#p444|issn:0287-8534#312#p5|issn:0287-8534#313#p67|issn:0448-0791#1373#p58.2|issn:0448-0791#1373#p65|issn:0448-0791#1373#p72|issn:0448-0791#45#p45.6|issn:0564-0245#v53n3#p61|issn:0915-809X#v20n1#p113|issn:0916-9806#v61n12#p49|issn:1342-5056#v140n3#p80|ncid:AA12241495#47#p47.6|ncid:AN00327187#v63n1#p203,15,0,1,false
ヤフー事件,最高一小判,平成28.2.29,ヤフー事件|ヤフー・ＩＤＣＦ事件|法人税法１３２条の２にいう不当性要件とヤフー事件|ヤフー事件・ＩＢＭ事件|ヤフー事件とＩＢＭ事件|ヤフー事件及びＩＢＭ事件|ＩＢＭ事件,isbn:bj-253#p126|issn:0287-9670#1071#p68|issn:0289-1107#2112#p4|issn:0289-1107#2113#p23|issn:0448-0791#28#p214|issn:0910-5786#v48n6#p32|issn:0913-5278#v64n6#p44|issn:0913-5278#v64n7#p54|issn:0913-5278#v65n3#p187|issn:0913-5278#v65n9#p142|ncid:AA11504883#v16n9#p82|ncid:AA11504883#v24n8#p32|ncid:AN00080095#v60n1#p156|ncid:AN00080095#v65n6#p98|ncid:AN00326923#705#p152,15,0,2,true
ルンバール事件,最高二小判,昭和50.10.24,ルンバール事件|東大病院ルンバール事件|ルンバール・ショック事件|ルンバールのショックによる脳出血事件|医療訴訟|東大ルンバール事件|民法と民事訴訟,isbn:bj-140#p48|isbn:bj-146#p254|isbn:bj-169#p134|isbn:bj-201#p122|isbn:bj-224#p170|isbn:bj-226#p122|isbn:bj-238#p176|isbn:bj-263#p156|isbn:bj-265#p114|issn:0386-3050#v63n1#p170|issn:0389-2220#393#p97|issn:0389-2220#461#p15|issn:0439-3295#v34n7#p86|issn:0448-0791#11#p11.8|issn:0912-1587#589#p17,15,0,2,true
空知太神社事件,,平成22.1.20,空知太神社事件|空知太神社訴訟|砂川政教分離訴訟判決と白山比〓神社大祭奉賛会事件|空知太神社市有地無償利用違法確認請求事件|市の住民が怠る事実の違法確認を求めている住民訴訟|北海道砂川市・空知太神社政教分離住民訴訟|砂川・空知太神社訴訟,isbn:bj-217#p110|isbn:bj-245#p104|isbn:bj-273#p100|issn:0287-4601#v76n2#p487|issn:0287-5209#v87n4#p133|issn:0287-8534#339#p60|issn:0288-6820#31#p147|issn:0387-3420#v82n11#p85|issn:0389-0538#v84n5#p144|issn:0439-3295#v56n1#p30|issn:0439-3295#v59n4#p136|issn:0448-0791#1#p125|issn:1341-061X#v17n3#p1|issn:1344-8242#15#p43|issn:2187-1302#29#p28,15,1,2,true
ノース・ウエスト航空事件,最高二小判,昭和62.7.17,ノース・ウエスト航空事件|ノースウエスト航空事件|ノース・ウェスト航空事件|ノースウェスト航空事件|固定資産税等無効確認請求事件|横浜山手ハイム事件,isbn:bj-101#p258|isbn:bj-101#p260|isbn:bj-134#p218|isbn:bj-165#p232|isbn:bj-197#p212|isbn:bj-230#p198|isbn:bj-257#p202|isbn:現代判例民法学の課題――森泉章教授還暦記念論集#p346|issn:0385-5082#v52n2#p182|issn:0386-0639#71#p116|issn:0387-1878#458#p458|issn:0387-3617#77#p96|issn:0448-0791#62#p215|issn:0448-0791#931#p129|ncid:AN00327813#1185#p59,15,0,5,true
大和銀行事件,最高一小判,昭和57.10.7,大和銀行事件|全逓昭和郵便局事件|昭和郵便局事件|全逓昭和瑞穂支部事件|全逓・昭和局事件|昭和郵便局掲示板原状回復請求事件,isbn:bj-101#p90|isbn:bj-134#p88|isbn:bj-165#p96|isbn:bj-197#p76|issn:0288-5107#2#p222|issn:0288-5107#2#p224|issn:0387-1878#279#p279|issn:0387-1878#289#p289|issn:0387-1878#395#p4|issn:0387-1878#406#p12|issn:0389-2220#31#p90|issn:0448-0791#57#p221|issn:0449-0193#234#p62|issn:0916-9806#v36n1#p38|issn:1342-5242#1233#p18,15,0,4,true
東京海上日動火災保険事件,東京地判,平成19.3.26,東京海上日動火災保険事件|日本航空インターナショナル事件|中山書店事件|東京海上日動・外勤社員制度廃止事件|再生債権者は再生債権を被保全債権とする詐害行為取消訴訟|東京海上日動火災保険ＲＡ制度廃止事件,issn:0386-0639#111#p140|issn:0387-3420#v80n4#p140|issn:0387-3420#v80n8#p120|issn:0387-3420#v80n9#p119|issn:0387-7612#v60n1#p271|issn:0389-0546#v83n3#p183|issn:0439-3295#v53n2#p128|issn:0448-0791#1369#p127|issn:1342-5064#v58n12#p22|ncid:AN00326923#587#p190|ncid:AN00326923#589#p191|ncid:AN00327187#155#p23|ncid:AN00327813#1690#p13|ncid:AN00327813#1730#p33|ncid:AN00327813#1730#p40,15,0,4,true
約束手形の振出人に対する満期前の手形金請求訴訟,最高二小判,平成5.10.22,約束手形の振出人に対する満期前の手形金請求訴訟|振出人に対する満期前の約束手形金請求訴訟|愛知県議会議員定数不均衡訴訟|満期前の手形金請求訴訟|愛知県議会の議員定数不均衡訴訟,isbn:最高裁判所判例解説――民事篇<平成5年度>(下)(4月~12月分)#p935|issn:0022-6815#v112n11#p1610|issn:0287-9670#562#p68|issn:0287-9956#944#p52|issn:0389-2220#167#p116|issn:0438-5896#6#p224|issn:0438-5896#855#p13|issn:0439-3295#v40n3#p45|issn:0448-0791#1040#p85|issn:0448-0791#2#p57|issn:0494-9692#v38n5#p46|issn:1341-1179#v39n2#p10|issn:1342-5056#v111n2#p302|ncid:AN00326923#433#p199|ncid:AN00327187#v46n3#p165,15,0,2,true
訴訟上の相殺の抗弁に対し訴訟,最高一小判,平成10.4.30,訴訟上の相殺の抗弁に対し訴訟|訴訟上の相殺の抗弁に対して訴訟|ペリカン便事件|スズキ宝飾事件|予備的相殺の抗弁に対する訴訟,isbn:最高裁判所判例解説――民事篇<平成10年度>(上)(1月~5月分)#p497|issn:0022-6815#v118n1#p177|issn:0287-9670#667#p69|issn:0387-5296#v43n3#p91|issn:0389-2220#216#p102|issn:0438-4997#v48n6#p193|issn:0438-5896#10#p216|issn:0448-0791#10#p129|issn:0448-0791#1140#p119|issn:0448-0791#1206#p278|issn:0448-0791#2#p98.330|issn:2185-3223#1556#p14|ncid:AN00326923#1999#p132|ncid:AN00326923#479#p230|ncid:AN00327187#v52n6#p175,15,0,4,true
塩見訴訟,最高一小判,平成1.3.2,塩見訴訟|塩見事件|国民年金裁定却下処分取消請求事件|いわゆる塩見訴訟,isbn:bj-130#p10|isbn:bj-153#p8|isbn:bj-154#p16|isbn:bj-156#p108|isbn:bj-186#p16|isbn:bj-191#p8|isbn:bj-217#p14|isbn:bj-227#p10|isbn:bj-245#p12|isbn:bj-255#p108|isbn:bj-273#p12|isbn:判例セレクト’89(月刊法学教室113別冊付録)#p14|issn:0387-3617#109#p100|issn:0389-2220#106#p76|issn:0911-4718#1078#p36,15,0,1,false
日産自動車事件,最高三小判,昭和60.4.23,日産自動車事件|日産自動車残業差別事件|日産自動車不当労働行為救済命令取消請求上告事件|日産・プリンス事件,isbn:bj-101#p156|isbn:bj-134#p242|isbn:bj-165#p254|isbn:bj-197#p232|isbn:bj-230#p214|isbn:bj-257#p218|issn:0386-0620#137#p191|issn:0387-1878#330#p330|issn:0387-1878#942#p92|issn:0389-2220#60#p92|issn:0448-0791#60#p213|issn:0448-0791#840#p32|issn:0448-0791#846#p130|issn:0917-1592#v39n11#p46|ncid:AN00327813#1124#p26,15,0,2,true
長澤運輸事件,東京地判,平成28.5.13,長澤運輸事件|長澤運輸事件とハマキョウレックス事件|長澤運輸事件・ハマキョウレックス事件|租税訴訟,issn:0286-0821#320#p38|issn:0386-0620#254#p140|issn:0387-1878#1140#p2|issn:0389-2220#432#p54|issn:0448-0791#1495#p4|issn:0910-5786#v48n11#p31|issn:1341-9498#v16n10#p40|issn:1342-5056#v153n5#p167|issn:1342-5064#v67n18#p26|ncid:AA11504883#v16n11#p101|ncid:AN00327799#2423#p21|ncid:AN00327813#1868#p6|ncid:AN00327813#1869#p44|ncid:AN00327813#1871#p4|ncid:AN00327813#1881#p14,15,0,1,false
八幡製鉄事件,,昭和45.6.24,八幡製鉄事件|八幡製鉄政治献金株主代表訴訟事件|八幡製鉄政治献金事件,isbn:bj-130#p20|isbn:bj-131#p330|isbn:bj-154#p22|isbn:bj-155#p338|isbn:bj-186#p24|isbn:bj-187#p350|isbn:bj-217#p20|isbn:bj-245#p18|isbn:bj-273#p16|isbn:bj-95#p16|isbn:bj-96#p324|isbn:憲法の基本判例(別冊法学教室基本判例シリーズ1)#p10|isbn:法と政治の現代的諸相――松山大学法学部20周年記念論文集#p75|issn:0385-034X#588#p8|issn:0389-2220#369#p140,15,0,1,false
ハンセン病訴訟,,,ハンセン病訴訟|国家犯罪を断罪したハンセン病訴訟,issn:0286-1054#v36n7#p48|issn:0389-0813#v36n1#p1|issn:0439-3295#v46n8#p48|issn:0439-3295#v46n8#p48.15|issn:0439-3295#v46n8#p52|issn:0439-3295#v46n8#p55|issn:0439-3295#v46n8#p56|issn:0439-3295#v46n8#p60|issn:0439-3295#v46n8#p63|issn:0439-3295#v46n8#p64|issn:0439-3295#v47n8#a1|issn:0439-3295#v48n5#p20|issn:0447-7480#v52n10#p104|issn:0447-7480#v72n9#p5|issn:0911-4718#1807-1808#p48,15,0,1,false
社会福祉法人滋賀県社会福祉協議会事件,最高二小判,令和6.4.26,社会福祉法人滋賀県社会福祉協議会事件|滋賀県社会福祉協議会事件,issn:0286-0821#356#p83|issn:0286-0821#359#p78|issn:0386-0620#288#p82.8|issn:0387-1878#1310#p174|issn:0387-3420#v96n12#p119|issn:0448-0791#1600#p4|issn:0448-0791#1605#p142|issn:0448-0791#1605#p98|issn:0448-0791#6#p182|issn:1341-1179#v2169n1#p36|ncid:AA11504883#v24n11#p51|ncid:AN00327187#222#p26|ncid:AN00327813#2059#p26|ncid:AN00327813#2063#p14|ncid:AN00327813#2063#p6.3,15,1,1,false
イビデン事件,最高一小判,平成30.2.15,イビデン事件,issn:0386-0620#264#p147|issn:0387-3420#v91n1#p134|issn:0438-4997#v69n1#p131|issn:0439-3295#v63n6#p123|issn:0448-0791#1517#p4|issn:0448-0791#1524#p131|issn:0448-0791#1542#p126|issn:0448-0791#30#p204|issn:1341-9498#v18n7#p40|issn:1342-5064#v70n4#p18|issn:1882-059X#145#p38|ncid:AN00327187#201#p119|ncid:AN00327187#201#p34|ncid:AN00327799#2485#p21|ncid:AN00327813#1919#p22,15,0,1,false
東京地裁における商事事件,,,東京地裁における商事事件,issn:0289-1107#1425#p2|issn:0289-1107#1580#p4|issn:0289-1107#1581#p13|issn:0289-1107#1722#p27|issn:0289-1107#1796#p13|issn:0289-1107#1873#p91|issn:0289-1107#1939#p80|issn:0289-1107#2006#p30|issn:0289-1107#2075#p36|issn:0289-1107#2141#p34|issn:0289-1107#2209#p28|issn:0289-1107#2273#p4|issn:0289-1107#2274#p45|issn:0289-1107#2334#p23|issn:0289-1107#2401#p19,15,0,1,false
資生堂東京販売事件,最高三小判,平成10.12.18,資生堂東京販売事件|花王化粧品販売事件|私製年賀葉書業者による損害賠償請求事件|お年玉付き年賀葉書事件|資生堂東京販売事件・花王化粧品事件|資生堂・花王事件|富士喜・江川企画事件|花王事件|音羽流事件,isbn:bj-161#p144|isbn:bj-161#p178|isbn:bj-161#p6|isbn:bj-199#p126|isbn:bj-199#p158|isbn:bj-199#p250|isbn:bj-199#p4|isbn:bj-234#p144|issn:0287-4954#v63n6#p6|issn:0287-9670#667#p8|issn:0287-9956#1073#p54|issn:0448-0791#10#p236|issn:0448-0791#1154#p92|issn:0448-0791#1160#p121,14,0,6,true
ブラウン管カルテル事件,最高三小判,平成29.12.12,ブラウン管カルテル事件|ブラウン管事件|ブラウン管国際カルテル事件|平成２９年ブラウン管国際カルテル事件|テレビ用ブラウン管国際カルテル事件|農協事件|農協事件・クアルコム事件|テレビ用ブラウン管の国際カルテル事件,isbn:bj-255#p42|issn:0287-7511#v46n4#p457|issn:0287-7511#v47n9#p1077|issn:0287-9670#1116#p20|issn:0287-9670#1117#p4|issn:0287-9670#1129#p82|issn:0289-1107#2166#p35|issn:0385-5082#v82n2#p75|issn:0425-6247#809#p59|issn:0448-0791#1516#p6|issn:0448-0791#1519#p102|issn:1346-812X#80#p79|issn:2187-1302#25#p166|ncid:AN00326923#726#p176,14,0,2,true
ヤフー事件,東京地判,平成26.3.18,ヤフー事件|ヤフー・ＩＤＣＦ事件|税務訴訟|過去事例から学ぶ税務訴訟|ヤフー事件・ＩＤＣＦ事件|ＩＤＣＦ事件|ヤフー事件と日本ＩＢＭ事件,isbn:次世代への挑戦――法学部半世紀の伝統を糧に北海学園大学法学部50周年記念論文集#p51|issn:0289-1107#2037#p4|issn:0289-1107#2038#p38|issn:0913-5278#v62n12#p124|issn:0913-5278#v62n7#p49|issn:0913-5278#v62n7#p8|issn:0913-5278#v62n8#p121|issn:0913-5278#v62n9#p140|issn:1882-059X#96#p58|issn:2185-3223#2028#p46|ncid:AA11504883#v14n9#p84|ncid:AN00080095#v57n10#p44|ncid:AN00080095#v57n9#p2|ncid:AN00390536#v69n9#p17,14,0,3,true
日本国内に営業所を有する外国法人に対する損害賠償請求訴訟,最高二小判,昭和56.10.16,日本国内に営業所を有する外国法人に対する損害賠償請求訴訟|マレーシア航空事件|渉外事件|外国で発生した外国航空会社の航空機の事故に対し日本在住の遺族が日本の裁判所に損害賠償請求訴訟|外国の国内線航空機の墜落事故により死亡した乗客の遺族からの外国航空会社に対する損害賠償請求訴訟|国際裁判管轄とマレーシア航空事件|外国航空機の墜落によって死亡した者の遺族による損害賠償請求訴訟,isbn:bj-145#p40|isbn:最高裁判所判例解説――民事篇<昭和56年度>#p592|issn:0022-6815#v105n7#p76|issn:0286-2654#1984-02#p100|issn:0287-9956#637#p49|issn:0389-2220#16#p83|issn:0438-5896#472#p225|issn:0439-3295#v26n2#p20|issn:0448-0791#56#p278|issn:0493-4067#1135#p57|issn:0494-9692#v26n5#p44|issn:1342-5056#v88n1#p100|ncid:AN00326923#296#p201|ncid:AN00327187#v37n6#p165,14,0,1,false
岐阜県青少年保護育成条例事件,最高三小判,平成1.9.19,岐阜県青少年保護育成条例事件|日本コーポ事件|岐阜県青少年保護育成条例意見訴訟|岐阜県青少年保護育成条例違反事件|岐阜県青少年保護育成条例違憲訴訟|岐阜・自販機ポルノ訴訟,isbn:bj-130#p108|isbn:bj-154#p116|isbn:bj-179#p128|isbn:bj-179#p132|isbn:bj-186#p114|isbn:bj-217#p118|isbn:bj-241#p128|isbn:bj-241#p132|isbn:bj-245#p112|isbn:bj-273#p110|isbn:判例セレクト’89(月刊法学教室113別冊付録)#p12|issn:0439-3295#v34n12#p92|issn:0448-0791#947#p89|issn:0493-4067#1373#p85,14,0,3,true
建築確認の取消訴訟,最高一小判,平成21.12.17,建築確認の取消訴訟|建築確認取消訴訟|政府自動車損害賠償保障事業による損害てん補請求事件|建築確認処分取消請求事件|建築確認取消訴訟において先行する建築安全条例による安全認定の違法を主張することが許されるとした事件|建築確認処分取消等請求事件,isbn:最高裁判所判例解説――民事篇<平成21年度>(下)(7月~12月分)#a16|issn:0022-6815#v132n1#p161|issn:0287-5209#v87n1#p148|issn:0287-8534#v43n5#p54|issn:0438-5896#22#p158|issn:0438-5896#22#p350|issn:0439-3295#v55n7#p119|issn:0448-0791#1415#p82|issn:0448-0791#22#p58|issn:0448-0791#59#p59.74|ncid:AA1115468X#2010#p4|ncid:AA12241495#65#p65.7|ncid:AN00326923#621#p170|ncid:AN00327187#v64n1#p195,14,0,0,false
東芝昇降機サービス事件,大阪高判,平成5.7.30,東芝昇降機サービス事件|東芝エレベータテクノス事件|東芝エレベーターテクノス事件|東芝エレベーター事件|エレベーター保守部品の不当な抱き合わせ販売等事件,isbn:bj-141#p136|isbn:bj-141#p164|isbn:bj-141#p214|isbn:bj-161#p122|isbn:bj-161#p152|isbn:bj-161#p208|isbn:bj-199#p104|isbn:bj-199#p138|isbn:bj-234#p130|issn:0425-6247#519#p50|issn:0448-0791#1032#p101|issn:0448-0791#1056#p149|issn:0448-0791#1118#p125|ncid:AN00326923#425#p199,14,0,4,true
大成観光事件,最高三小判,昭和57.4.13,大成観光事件|ホテルオークラ事件|リボン闘争事件|大成観光リボン闘争事件,isbn:bj-101#p244|isbn:bj-134#p182|isbn:bj-165#p200|isbn:bj-197#p184|isbn:bj-230#p176|isbn:bj-257#p178|issn:0288-5107#2#p220|issn:0386-0620#125#p70|issn:0387-1878#257#p257|issn:0389-2220#22#p69|issn:0448-0791#57#p226|issn:0917-1592#v37n1#p44|issn:1342-5242#1223#p29|ncid:AN00327187#86#p36,14,0,3,true
筑豊じん肺訴訟,最高三小判,平成16.4.27,筑豊じん肺訴訟|じん肺訴訟|筑豊じん肺国賠訴訟|筑豊じん肺事件,isbn:bj-191#p148|issn:0286-0821#255#p64|issn:0286-9705#2005-09#p101|issn:0287-5209#v82n8#p133|issn:0386-0639#105#p149|issn:0387-3617#272#p149|issn:0389-2220#290#p126|issn:0439-3295#v49n10#p116|issn:0439-3295#v50n1#p54|issn:0439-3295#v50n9#p127|issn:0448-0791#16#p46|issn:0483-1330#307#p148|issn:0916-9806#v57n10#p64|issn:1341-1179#v49n9#p72,14,0,1,false
東朋学園事件,最高一小判,平成15.12.4,東朋学園事件|成田空港訴訟|東朋学園・高宮学園事件,isbn:bj-197#p102|issn:0386-0639#105#p140|issn:0387-1878#865#p5|issn:0387-1878#927#p93|issn:0387-3420#v76n11#p91|issn:0438-5896#16#p288|issn:0439-3295#v49n10#p121|issn:0439-3295#v49n11#p119|issn:0448-0791#1279#p161|issn:0448-0791#16#p238|issn:1342-5064#v55n1#p1|issn:1342-5064#v55n16#p30|ncid:AA1115468X#2004#p9|ncid:AN00327813#1578#p4,14,0,2,true
水道機工事件,最高一小判,昭和60.3.7,水道機工事件|失効株券による名義書換請求事件|出張・外勤拒否と賃金カット事件,isbn:bj-101#p264|isbn:bj-134#p216|isbn:bj-165#p230|isbn:bj-197#p210|issn:0286-3782#v20n1#p27|issn:0287-9956#730#p44|issn:0386-0620#136#p205|issn:0387-1878#291#p291|issn:0389-2220#59#p128|issn:0389-2220#61#p160|issn:0448-0791#60#p211|issn:1342-5242#1302#p18|ncid:AN00327813#1124#p18|ncid:AN00327813#1129#p10,14,0,2,true
山梨県民信用組合事件,最高二小判,平成28.2.19,山梨県民信用組合事件|退職金請求事件,isbn:bj-230#p46|isbn:bj-257#p48|issn:0386-0620#257#p155|issn:0386-0620#270#p40.7|issn:0387-1878#1158#p6|issn:0387-3420#v88n13#p260|issn:0389-2220#436#p8|issn:0439-3295#v61n6#p125|issn:0448-0791#1491#p4|issn:0448-0791#28#p230|issn:1341-9498#v16n8#p32|ncid:AN00327799#2417#p24|ncid:AN00327813#1862#p29|ncid:AN00327813#1960#p23,14,0,1,false
広島市暴走族追放条例事件,最高三小判,平成19.9.18,広島市暴走族追放条例事件|広島市暴走族追放条例違反被告事件,isbn:bj-215#p46|isbn:bj-217#p189|isbn:bj-245#p182|isbn:bj-266#p46|isbn:bj-273#p176|issn:0287-4601#v76n3#p137|issn:0387-2866#v172n1#p107|issn:0387-2882#v75n2#p159|issn:0387-3420#v79n13#p1|issn:0387-3420#v81n3#p121|issn:0388-6611#v43n1#p119|issn:0439-3295#v53n1#p112|issn:0439-3295#v53n1#p115|issn:0448-0791#1#p90,14,1,1,false
ローヤリング労働事件,,,ローヤリング労働事件,issn:0286-0821#313#p120|issn:0386-0620#233#p187|issn:0386-0620#233#p188|issn:0386-0620#234#p213|issn:0386-0620#235#p224|issn:0386-0620#236#p204|issn:0386-0620#237#p93|issn:0386-0620#238#p131|issn:0386-0620#239#p132|issn:0386-0620#240#p93|issn:0386-0620#241#p130|issn:0386-0620#242#p157|issn:0386-0620#243#p197|issn:0386-0620#244#p113,14,0,1,false
離婚請求訴訟,最高一小判,平成6.2.10,離婚請求訴訟,isbn:最高裁判所判例解説――民事篇<平成6年度>#p189|issn:0287-9670#580#p65|issn:0389-0538#v68n6#p119|issn:0389-2220#167#p120|issn:0438-5896#6#p248|issn:0439-3295#v40n3#p48|issn:0448-0791#1058#p97|issn:0448-0791#2#p113|issn:0448-0791#6#p124|issn:0912-1579#440#p43|ncid:AN00326923#1995#p134|ncid:AN00326923#1995#p93|ncid:AN00326923#436#p217|ncid:AN00327187#v48n10#p182,14,0,0,false
アパマンショップ株主代表訴訟,最高一小判,平成22.7.15,アパマンショップ株主代表訴訟|アパマンショップＨＤ株主代表訴訟|アパマンショップＨＤ株主代表訴訟事件|アパマンショップホールディングス株主代表訴訟|アパマンショップホールディングス株主代表訴訟事件|アパマン株主代表訴訟|アパマン株主代表訴訟事件|ライブドア株式機関投資家訴訟|ライブドア株式機関投資家訴訟事件|アパマンショップホールディングス事件|アパマンショップ事件,isbn:企業法学の論理と体系――永井和之先生古稀記念論文集#p967|issn:0287-9956#1350#p2|issn:0287-9956#1364#p2|issn:0287-9956#1368#p7|issn:0289-1107#1913#p4|issn:0289-1107#2009#p51|issn:0389-2220#455#p101|issn:0438-5896#1370#p4|issn:0438-5896#22#p206|issn:0448-0791#1442#p101|ncid:AA1115468X#2010#p18|ncid:AA11504883#v10n11#p12|ncid:AN00326923#629#p188,13,0,2,true
取締役会の意思決定が違法であるとして取締役に対し提起された株主代表訴訟において株式会社が取締役を補助するため訴訟,最高一小決,平成13.1.30,取締役会の意思決定が違法であるとして取締役に対し提起された株主代表訴訟|取締役会の意思決定が違法であるとして取締役に対し提起された株主代表訴訟において株式会社が取締役を補助するため訴訟|株主代表訴訟において会社が取締役を補助するために訴訟|株主代表訴訟補助参加申立事件|多数当事者紛争と訴訟|取締役を被告とする株主代表訴訟|取締役会の意思決定が違法であるとして取締役に対して提起された株主代表訴訟|取締役会の意思決定が違法であるとして取締役に対して提起された株主代表訴訟において株式会社が取締役を補助するため訴訟|万兵株式会社事件|取締役会の意志決定が違法であるとして取締役に対し提起された株主代表訴訟|取締役会の意志決定が違法であるとして取締役に対し提起された株主代表訴訟において株式会社が取締役を補助するため訴訟,isbn:最高裁判所判例解説――民事篇<平成13年度>(上)(1月~5月分)#p55|issn:0022-6815#v119n8#p1665|issn:0287-9956#1116#p62|issn:0289-1107#1592#p4|issn:0388-2578#457#p39|issn:0439-3295#v46n5#p106|issn:0448-0791#1205#p130|issn:0448-0791#2#p89|issn:0915-0072#31#p149|issn:1342-5056#v125n3#p101|ncid:AN00326923#2002#p97|ncid:AN00327187#v54n12#p272|ncid:AN00390536#v56n12#p225,13,0,2,true
日本興業銀行株主代表訴訟事件,東京地判,平成13.3.29,蛇の目ミシン株主代表訴訟|日本興業銀行株主代表訴訟|日本興業銀行株主代表訴訟事件|株式移転と株主代表訴訟|コーポレート・ガバナンスと株主代表訴訟|蛇の目ミシン株主代表訴訟事件|取締役の善管注意義務違反と株主代表訴訟|株式移転による株主地位の喪失と株主代表訴訟|株式移転による株主の地位の喪失と株主代表訴訟|興銀株主代表訴訟|興銀株主代表訴訟事件,issn:0287-9956#1127#p61|issn:0289-1107#1719#p131|issn:0385-5082#v66n4#p95|issn:0389-5947#v74n6#p287|issn:0439-3295#v46n9#p114|issn:0439-5905#191#p245|issn:0447-7588#v46n1#p79|issn:0448-0791#1262#p160|issn:0910-0121#v18n2#p121|issn:0914-417X#193#p15|issn:2185-3223#1654#p71|ncid:AN00326923#2002#p98|ncid:AN00326923#516#p182,13,0,0,false
大和銀行株主代表訴訟,大阪地判,平成12.9.20,大和銀行株主代表訴訟|大和銀行株主代表訴訟事件|大和銀行代表訴訟|大和銀行代表訴訟事件|大和銀行ニューヨーク支店損失事件|大和銀行ニューヨーク支店損失事件株主代表訴訟|大和銀行代表訴訟事件一審判決と代表訴訟|関西航業事件|大和銀行ニューヨーク支店損失事件株主代表訴訟事件|取締役の会社に対する責任と株主代表訴訟,issn:0287-9956#1107#p56|issn:0289-1107#1576#p4|issn:0289-1107#1577#p4|issn:0389-2220#246#p36|issn:0389-5947#v74n6#p309|issn:0439-3295#v46n1#p109|issn:0448-0791#1244#p284|issn:0518-1208#v44n1#p63|issn:2185-3223#1594#p1|issn:2185-3223#1601#p6|ncid:AA11504883#v24n8#p8|ncid:AN00132472#63#p19|ncid:AN00327813#1504#p15,13,0,2,true
シール談合刑事事件,東京高判,平成5.12.14,シール談合刑事事件|目隠しシール入札談合刑事事件|目隠しシール談合刑事事件|社会保険庁シール入札談合事件|社会保険庁発注年金支払通知書貼付用シールの入札談合刑事事件|社会保険庁発注の支払通知書等貼付シールの入札談合事件|最近の独占禁止法違反事件|目隠しシール談合独禁法違反事件|社会保険庁発注の支払通知書等貼付用シールをめぐる入札談合事件,isbn:bj-141#p12|isbn:bj-141#p32|isbn:bj-161#p12|isbn:bj-161#p36|isbn:bj-199#p10|isbn:bj-199#p42|isbn:bj-234#p40|isbn:bj-234#p6|issn:0385-5082#v61n4#p218|issn:0425-6247#524#p28|issn:0438-5896#874#p63|issn:0448-0791#5#p250|issn:0916-9806#v47n5#p56,13,0,7,true
日曜日授業参観事件,東京地判,昭和61.3.20,日曜日授業参観事件|キリスト教徒日曜日訴訟|キリスト教徒日曜日訴訟事件|日曜授業参観事件|キリスト教徒日曜日参観授業事件|キリスト教徒日曜参観授業欠席記載取消請求事件|小学校長が児童の指導要録の出欠の記録に欠席した旨を記載することは抗告訴訟|キリスト教徒日曜日授業欠席事件,isbn:bj-130#p88|isbn:bj-154#p94|isbn:bj-186#p92|isbn:bj-217#p94|isbn:bj-245#p55.30|isbn:bj-273#p71.40|isbn:bj-95#p76|isbn:判例セレクト’86(月刊法学教室77別冊付録)#p12|issn:0287-5209#v64n4#p127|issn:0389-2220#71#p112|issn:0389-8571#19#p27|ncid:AN00327540#548#p3|ncid:AN00327540#549#p13,13,0,3,true
雇用契約上の権利を有する地位にあることの確認及び解雇後の賃金の支払を求めて提起した訴訟,最高二小判,平成21.10.16,雇用契約上の権利を有する地位にあることの確認及び解雇後の賃金の支払を求めて提起した訴訟|雇用契約上の権利を有する地位にあることの確認及び解雇後の賃金の支払いを求めて提訴した訴訟|職員の解雇をめぐる訴訟|ジョージア州港湾局の我が国における事務所職員の解雇無効請求事件|米国の州に解雇された日本事務所職員が起こした解雇無効確認訴訟|米国ジョージア州を被告とする民事訴訟|米国ジョージア州に対する解雇無効確認等請求事件|米国ジョージア州港湾局極東代表部職員の不当解雇を理由とする地位確認・賃金支払を求める訴訟,isbn:最高裁判所判例解説――民事篇<平成21年度>(下)(7月~12月分)#a14|issn:0287-7511#v38n3#p306|issn:0389-0538#v83n9#p72|issn:0438-5896#1343#p37|issn:0438-5896#22#p318|issn:0448-0791#1404#p119|issn:0448-0791#232#p232.4|issn:0916-9806#v63n6#p46|issn:1342-5056#v144n3#p20|ncid:AA12241495#157#p157.6|ncid:AA12241495#231#p231.7|ncid:AN00326923#2011#p146|ncid:AN00327187#v63n7#p218,13,0,2,true
