case_name_normalized,court,date,n_hanrei_judgments,n_variants,n_assigned,assignments,candidate_dockets
三菱重工長崎造船所事件,最高二小判,昭和56.9.18,3,4,0,,昭和５１年（オ）１２７３号:賃金請求上告事件 | 昭和５５年（あ）３００号:公文書毀棄 | 昭和５５年（オ）１０６９号:借地権確認請求事件
国鉄札幌運転区事件,最高三小判,昭和54.10.30,2,4,0,,昭和４９年（オ）１１８８号:地位確認請求上告事件 | 昭和５４年（あ）１２９４号:道路交通法違反
差押えがされている動産引渡請求権を更に差し押さえた債権者が先行する差押事件,最高一小判,平成18.1.19,3,4,0,,平成１５年（オ）４５６号／平成１５年（受）４６７号:貸金請求事件 | 平成１７年（オ）４８号／平成１７年（受）５７号:建物収去土地明渡等請求事件 | 平成１７年（受）７６１号:損害賠償請求事件
広島中央保健生活協同組合事件,最高一小判,平成26.10.23,2,4,0,,平成２４年（受）２２３１号:地位確認等請求事件 | 平成２５年（受）４９２号:損害賠償等請求事件
興銀事件,最高二小判,平成16.12.24,3,4,0,,平成１２年（行ツ）２０９号／平成１２年（行ヒ）２０６号:規制対象事業場認定処分取消請 | 平成１４年（受）１２４４号:総会決議不存在確認請求事件 | 平成１４年（受）１３５５号:損害賠償請求事件
JASRAC事件,最高三小判,平成27.4.28,3,3,0,,平成２５年（行ツ）４９６号／平成２５年（行ヒ）５３８号:審決取消請求事件 | 平成２６年（行ヒ）７５号:審決取消等請求事件
L館事件,最高一小判,平成27.2.26,4,3,0,,平成２６年（オ）１０２０号／平成２６年（受）１２９５号:各再生再建査定異議事件 | 平成２６年（受）１３１０号:懲戒処分無効確認等請求事件
目黒電報電話局事件,最高三小判,昭和52.12.13,2,3,0,,昭和４７年（オ）７７７号:懲戒戒告処分無効確認請求上告 | 昭和４９年（オ）６８７号:譴責処分無効確認請求上告事件
丸島水門事件,最高三小判,昭和50.4.25,3,2,0,,昭和４４年（オ）１２５６号:賃金請求上告事件 | 昭和４９年（オ）１１３１号:配当異議事件 | 昭和４９年（オ）５１３号:請求異議等請求事件
建物の区分所有等に関する法律59条1項に基づく訴訟,最高三小決,平成23.10.11,4,9,0,,平成２２年（オ）１７１６号／平成２２年（受）２０７３号:損害賠償請求事件 | 平成２３年（ク）１６６号／平成２３年（許）８号:保証金返還請求事件 | 平成２３年（行ツ）１８２号／平成２３年（行ヒ）１８６号:債権差押命令申立却下決定に対 | 平成２３年（行ト）４２号／平成２３年（行フ）２号:文書提出命令申立て却下決定に
九州朝日放送事件,最高一小判,平成10.9.10,15,8,0,,平成１０年（オ）１０３６号:慰藉料請求本訴、同反訴事件 | 平成１０年（オ）１２１５号:契約金等、不当利得金返還請求 | 平成１０年（オ）８９９号:損害賠償等請求事件 | 平成１０年（行ツ）１０４号:審決取消請求事件 | 平成５年（オ）１２１１号:損害賠償請求事件 | 平成５年（オ）１２１２号／平成５年（オ）１２１１号:損害賠償請求事件
佐賀教組懲戒処分取消請求事件,最高一小判,昭和63.1.21,3,7,0,,昭和５８年（行ツ）１２７号:行政処分無効確認等請求事件 | 昭和５９年（オ）１４８２号:損害賠償請求事件 | 昭和６２年（行ツ）１１３号:
タケダシステム事件,最高二小判,昭和58.11.25,3,5,0,,昭和５５年（オ）１３４号:否認権行使請求上告事件 | 昭和５５年（オ）３７９号／昭和５５年（オ）９６９号:未払賃金等支払請求事件 | 昭和５６年（オ）１１８５号:
総会決議不存在確認訴訟,最高三小判,平成2.12.4,4,5,0,,平成１年（オ）５７３号:株主総会決議不存在確認請求事 | 平成１年（行ツ）１６５号:審決取消請求事件 | 平成２年（オ）８５１号:所有権移転登記手続等請求事件 | 昭和６２年（オ）１５２号:雇用関係存在確認等請求事件
みちのく銀行事件,最高一小判,平成12.9.7,8,4,0,,平成１０年（オ）５２８号:受刑者接見妨害国家賠償請求事 | 平成１０年（オ）５２９号:受刑者接見妨害国家賠償請求事 | 平成１０年（受）３３２号:著作権侵害差止等請求本訴、同 | 平成１１年（受）９４号:損害賠償請求事件 | 平成１２年（受）１３５号:上告受理申立事件 | 平成１２年（許）１３号:遺産分割審判・寄与分を定める
建物収去土地明渡請求訴訟,最高二小判,平成7.12.15,6,4,0,,平成４年（オ）９９１号:請求異議事件 | 平成６年（オ）１９０５号:土地所有権移転登記、土地持分 | 平成７年（オ）１３３４号／平成７年（オ）１３３５号:損害賠償請求事件 | 平成７年（オ）２０２７号:審決取消請求事件 | 平成７年（オ）２１００号:地位確認等請求事件 | 平成７年（行ツ）１６３号:所得税更正処分等取消請求事件
済生会中央病院事件,最高二小判,平成1.12.11,3,4,0,,平成１年（オ）１３１０号:審決取消請求事件 | 昭和６３年（オ）２７０号:離婚等請求本訴、同反訴事件 | 昭和６３年（行ツ）１５７号:不当労働行為救済命令取消請求
NHK受信料訴訟,,平成29.12.6,30,3,0,,平成２５年（ワ）４５０７号:損害賠償請求事件 | 平成２６年（オ）１１３０号／平成２６年（受）１４４０号／平成２６年（受）１４４１号:受信契約締結承諾等請求事件 | 平成２７年（ワ）２１８６４号:損害賠償請求反訴事件 | 平成２７年（ワ）２３０８７号:特許権侵害差止等請求事件 | 平成２７年（ワ）３７２６２号:損害賠償請求事件 | 平成２７年（ワ）６１１４号:損害賠償請求事件
古河電気工業・原子燃料工業事件,最高二小判,昭和60.4.5,3,3,0,,昭和５６年（オ）８５６号:雇用関係確認等請求本訴、建物 | 昭和５６年（行ツ）１４３号: | 昭和６０年（行ツ）３号:
東京都公安条例事件,,昭和35.7.20,5,3,0,,:農地買収処分等無効確認請求控 | 昭和２８年（あ）４８４１号: | 昭和３１年（ワ）５１３８号:外国判決に対する執行判決請求 | 昭和３３年（ネ）１７９５号／昭和３３年（ネ）１８５２号:家屋収去土地明渡請求控訴事件 | 昭和３５年（レ）１９号:貸金請求再審控訴事件
池上通信機事件,最高三小判,昭和63.7.19,4,3,0,,昭和６０年（行ツ）１号:不当労働行為救済命令取消請求 | 昭和６１年（オ）３１号／昭和６１年（オ）３０号:模造品製造差止等請求事件 | 昭和６１年（オ）４９５号:詐害行為取消請求事件 | 昭和６１年（行ツ）３８号:
よど号ハイジャック記事抹消事件,,昭和58.6.22,4,2,0,,昭和５２年（オ）９２７号:損害賠償請求上告事件 | 昭和５２年（ワ）７５号:土地明渡仮処分異議申立事件 | 昭和５６年（ネ）１８号:損害賠償請求控訴事件 | 昭和５７年（ネ）１２８７号／昭和５８年（ネ）９７号:損害賠償請求控訴、附帯控訴事
三共自動車事件,最高三小判,昭和52.10.25,4,2,0,,昭和５０年（オ）６２１号:損害賠償請求上告事件 | 昭和５０年（オ）９３０号／昭和５０年（オ）９３１号:損害賠償等事件 | 昭和５１年（オ）１３２３号:売掛代金 | 昭和５２年（オ）２０号:損害賠償請求事件
安威川生コンクリート工業事件,最高三小判,平成18.4.18,4,2,0,,平成１５年（受）７２３号:賃金支払請求事件 | 平成１６年（受）１１４７号:損害賠償請求事件 | 平成１６年（受）２２３８号:保険金請求控訴事件（４２号） | 平成１８年（行ツ）４０号:
西武鉄道事件,最高三小判,平成23.9.13,4,8,0,,平成２１年（受）１１７７号:損害賠償請求事件 | 平成２１年（受）１１８９号:普天間米軍基地爆音差止等請求 | 平成２２年（受）１３５１号／平成２２年（受）１３５２号:損害賠償請求控訴事件 | 平成２２年（受）１４８５号:損害賠償請求事件
上告審が判決で訴訟,最高二小判,平成18.9.4,3,7,0,,平成１６年（受）１７４８号:認知請求事件 | 平成１７年（オ）１４５１号:臨時総会招集請求事件 | 平成１７年（受）１０１６号:損害賠償請求事件
福島第一原発事故国家賠償請求事件,最高二小判,令和4.6.17,3,7,0,,令和３年（オ）２９３号の２:原状回復等請求事件 | 令和３年（受）１２０５号:損害賠償請求事件 | 令和３年（受）３４２号:原状回復等請求事件
CBC管弦楽団労組事件,最高一小判,昭和51.5.6,4,5,0,,昭和４５年（行ツ）３２号:特許無効審判の審決取消請求事 | 昭和４７年（あ）１４３６号:威力業務妨害被告事件 | 昭和４９年（行ツ）１１２号:不当労働行為救済申立棄却命令 | 昭和４９年（行ツ）９４号:不当労働行為救済命令取消請求
豊前火力発電所事件,最高二小判,昭和60.12.20,4,5,0,,昭和５６年（オ）６７３号:火力発電所建設差止め請求事件 | 昭和５８年（オ）１５６７号:敷金返還請求事件 | 昭和６０年（オ）４８３号:離縁請求上告事件 | 昭和６０年（ク）３８１号:強制執行停止申立事件
三菱重工長崎造船所事件,最高一小判,平成12.3.9,9,4,0,,平成１０年（オ）１１１６号:預託金返還等請求事件 | 平成１０年（オ）２８３号:預金支払請求事件 | 平成１０年（オ）５６０号:配当異議事件 | 平成１１年（オ）１３３６号:損害賠償請求事件 | 平成１１年（受）１０６７号:預託金返還請求事件 | 平成７年（オ）１２６６号:賃金支払請求上告事件
村上ファンド事件,最高一小決,平成23.6.6,2,4,0,,平成２１年（あ）３７５号:文書提出命令に対する抗告審の | 平成２２年（オ）９５１号:立替金請求事件
電電公社帯広局事件,最高一小判,昭和61.3.13,4,3,0,,昭和５６年（オ）１２４３号:合名会社解散請求事件 | 昭和５７年（オ）１８４号:遺産確認請求事件 | 昭和５７年（行ツ）７２号:損害賠償請求事件 | 昭和５８年（オ）１４０８号:懲戒処分無効確認請求上告事件
静内郵便局事件,最高三小判,昭和59.3.27,6,3,0,,昭和５４年（行ツ）７４号:行政処分取消等請求上告事件 | 昭和５５年（オ）７８３号:共有物分割等請求事件 | 昭和５７年（オ）８５９号:配当異議事件 | 昭和５８年（あ）１７５９号:歯科医師法違反 | 昭和５８年（あ）１８０号:所得税法違反被告事件 | 昭和５８年（オ）１２６１号:根抵当権設定登記抹消登記手続
弘南バス事件,最高三小判,昭和43.12.24,17,2,0,,昭和３８年（オ）１０９８号:雇用関係存続確認等請求上告事 | 昭和３９年（オ）１４３５号:建物収去、土地明渡請求 | 昭和３９年（オ）７７３号:従業員たる地位確認請求上告事 | 昭和４０年（オ）１７３号:債務不存在確認請求並びに同反 | 昭和４０年（オ）７０６号:遺言執行者不存在確認等請求上 | 昭和４１年（オ）１２０４号:貸金請求上告事件
当事者が準備書面の直送をするためにした支出と民事訴訟,最高一小決,平成26.11.27,2,2,0,,平成２６年（オ）１２５２号／平成２６年（受）１６２０号:損害賠償請求事件 | 平成２６年（許）１９号:訴訟費用額確定処分異議申立て
麹町中学内申書事件,最高二小判,昭和63.7.15,3,2,0,,昭和５７年（オ）９１５号:損害賠償請求事件 | 昭和６０年（オ）９７７号:取立金請求事件 | 昭和６１年（行ツ）１７６号:公職選挙法違反
原子爆弾被爆者に対する援護に関する法律に基づく被爆者健康手帳交付申請及び健康管理手当認定申請の各却下処分の取消しを求める訴訟並びに同取消しに加えて被爆者健康手帳の交付の義務付けを求める訴訟,最高一小判,平成29.12.18,2,11,0,,平成２８年（行ヒ）４０４号の１:被爆者健康手帳交付等請求事件 | 平成２９年（受）８４号:総会決議無効確認等請求本訴、
衆議院議員及び参議院議員定数訴訟,最高二小判,昭和63.10.21,5,5,0,,昭和６０年（オ）５２２号:株券引渡等請求事件 | 昭和６２年（行ツ）１２７号:選挙無効請求上告事件 | 昭和６３年（行ツ）１２６号:建物収去土地明渡請求事件 | 昭和６３年（行ツ）２４号:選挙無効請求事件 | 昭和６３年（行ツ）８５号:仮処分申請一部却下決定に対す
JR北海道・JR貨物事件,最高一小判,平成15.12.22,3,4,0,,平成１３年（行ヒ）５６号: | 平成１３年（行ヒ）９６号:各不当労働行為救済命令取消請 | 平成１５年（行ヒ）１６号:労働委員会救済命令取消請求事
社会福祉法人いずみ福祉会事件,最高三小判,平成18.3.28,6,4,0,,平成１５年（受）１０９９号:解雇無効確認等請求事件 | 平成１５年（行ツ）２０２号:滞納処分取消請求事件 | 平成１６年（オ）１３６５号:損害賠償請求事件 | 平成１７年（オ）１５５３号／平成１７年（受）１８１６号:損害賠償請求事件 | 平成１７年（受）１７５１号:損害賠償等請求事件 | 平成１８年（オ）３０４号／平成１８年（受）３６１号:損害賠償請求事件
通常共同訴訟,最高一小判,昭和43.9.12,4,3,0,,昭和４２年（オ）２４６号:所有権移転登記手続等請求事件 | 昭和４２年（オ）６７２号:所有権確認、移転登記手続請求 | 昭和４２年（オ）８９０号:建物収去土地明渡請求上告事件 | 昭和４３年（オ）３６２号:家屋明渡請求事件
固有必要的共同訴訟,最高二小判,昭和43.3.15,6,2,0,,昭和３９年（オ）１３９０号:損害賠償請求上告事件 | 昭和４０年（オ）３４７号:損害賠償請求上告事件 | 昭和４１年（オ）１６２号:建物収去土地明渡請求上告事件 | 昭和４２年（オ）１０７９号:所有権移転登記手続請求 | 昭和４２年（オ）１１０５号:養子縁組無効確認請求再審事件 | 昭和４２年（オ）１２４号:約束手形金、約束手形金本訴並
朝日火災海上保険事件,最高三小判,平成8.3.26,6,2,0,,平成４年（あ）４０９号:公職選挙法違反 | 平成５年（オ）２８１号:損害賠償請求事件 | 平成５年（オ）６５０号:地位確認等請求事件 | 平成７年（オ）１９８６号:損害賠償請求事件 | 平成７年（オ）２４７９号:審決取消請求事件 | 平成８年（オ）１４８号:審決取消請求事件
ロス疑惑北海道新聞社事件,最高三小判,平成14.1.29,19,5,0,,平成１０年（オ）５４６号:転勤命令無効確認等請求事件 | 平成１０年（オ）７５８号: | 平成１０年（オ）７８０号:損害賠償請求事件 | 平成１０年（オ）７９１号: | 平成１３年（受）１２１９号:建物明渡請求事件 | 平成７年（オ）１４２１号:損害賠償請求事件
共同して訴えを提起した各原告の請求の価額を合算したものを訴訟,最高一小決,令和5.10.19,2,5,0,,令和５年（オ）１３７３号／令和５年（受）１７３６号:損害賠償本訴、地位確認等本訴 | 令和５年（許）１号:訴訟救助付与申立て却下決定に
10年退職金事件,最高三小判,昭和58.12.6,4,3,0,,昭和５３年（オ）１４３６号:損害賠償請求事件 | 昭和５５年（オ）５７７号:損害賠償請求上告事件 | 昭和５８年（行ツ）５７号: | 昭和５８年（行ツ）５８号:無効審決（成立）取消請求事件
弁護士職務基本規程57条に違反する訴訟,最高二小決,令和3.4.14,2,3,0,,令和２年（受）８２９号:国家賠償請求事件 | 令和２年（許）３７号:訴訟行為の排除を求める申立て
ギャロップレーサー事件,最高二小判,平成16.2.13,2,2,0,,平成１３年（受）８６６号／平成１３年（受）８６７号:製作販売差止等請求事件 | 平成１５年（オ）１９４５号:保険金請求事件
東京電力塩山営業所事件,最高二小判,昭和63.2.5,2,2,0,,昭和５９年（オ）４１５号:損害賠償請求上告事件 | 昭和６２年（あ）７６５号:物品税決定処分取消請求上告事
白石営林署事件,最高二小判,昭和48.3.2,2,2,0,,昭和４１年（オ）１４２０号:賃金請求上告事件 | 昭和４１年（オ）８４８号:未払賃金請求上告事件
長崎じん肺訴訟,最高三小判,平成6.2.22,4,2,0,,平成１年（オ）１６６６号:損害賠償請求事件 | 平成１年（オ）１６６７号:損害賠償並びに民事訴訟法１９ | 平成１年（オ）２３号:家屋明渡請求事件 | 平成２年（行ツ）７７号:建物滅失登記処分等取消請求事
民訴法38条後段の共同訴訟,最高二小判,平成23.5.30,2,5,0,,平成２２年（行ツ）５４号:損害賠償請求事件 | 平成２３年（許）１３号:分離移送決定に対する抗告棄却
貸金業規制法43条における書面の要否事件,最高一小判,平成11.1.21,9,5,0,,平成１０年（オ）１８４７号／平成１０年（受）３８９号: | 平成１０年（オ）２００３号／平成１０年（受）４９３号: | 平成１０年（受）５号:根抵当権設定仮登記本登記手続 | 平成７年（オ）１４４５号:債権確認請求事件 | 平成７年（オ）２１２２号:給水契約上の地位確認等請求事 | 平成７年（行ツ）１１６号:住民票記載処分取消、損害賠償
電気通信事業に従事する者及びその職を退いた者と民事訴訟,最高一小決,令和3.3.18,2,5,0,,令和１年（行ツ）１７９号:要指導医薬品指定差止請求事件 | 令和２年（許）１０号:検証物提示命令に対する抗告棄
佐用郡で四季を通じて屋内温水プールを享受できたはずのリゾートマンション事件,最高三小判,平成8.11.12,5,4,0,,平成５年（オ）１５７９号:損害賠償等請求本訴、同反訴、 | 平成５年（オ）１７４７号:損害賠償請求事件 | 平成７年（オ）２２８号:土地所有権移転登記手続請求事 | 平成７年（行ツ）１０１号:審決取消請求事件 | 平成８年（オ）１０５６号:損害賠償等請求事件
多摩談合事件,最高一小判,平成24.2.20,11,4,0,,平成２１年（受）１４６１号／平成２１年（受）１４６２号:損害賠償請求事件 | 平成２１年（行ツ）２６５号／平成２１年（行ヒ）３３７号:審決取消請求事件 | 平成２１年（行ツ）３２３号／平成２１年（行ヒ）４２０号:審決取消請求事件 | 平成２２年（行ツ）１４７号／平成２２年（行ヒ）１６０号:審決取消請求事件 | 平成２２年（行ツ）１４８号／平成２２年（行ヒ）１６１号:保険金請求事件 | 平成２２年（行ツ）１４９号／平成２２年（行ヒ）１６２号:保険金請求上告事件
寺西事件,,平成10.12.1,10,4,0,,平成１０年（ワ）２２０９号: | 平成１０年（分ク）１号:裁判官分限事件の決定に対する | 平成１０年（少コ）１０号: | 平成１０年（行ケ）１２５号:審決取消請求事件 | 平成４年（行コ）２号:公務外認定処分取消請求事件 | 平成５年（ワ）１２１１号:財産分与申立事件
新島漂着砲弾爆発事故事件,最高二小判,昭和59.3.23,2,4,0,,昭和５６年（オ）１７４号:損害賠償請求上告事件 | 昭和５７年（オ）１３５６号:取締役会議不存在確認等請求事
日暮里・舎人ライナー用地買収用代替予定地事件,最高三小判,平成22.6.1,2,4,0,,平成２１年（受）１７号／平成２１年（オ）１７号:損害賠償請求、民訴法２６０条 | 平成２２年（オ）７２８号／平成２２年（受）８９４号:遺産分割審判等に対する抗告事
東大医科研病院事件,最高三小判,平成12.2.29,3,4,0,,平成１０年（オ）１０８１号／平成１０年（オ）１０８２号:損害賠償請求上告、同附帯上告 | 平成１０年（行ツ）１９号:審決取消請求事件 | 平成８年（オ）２２２４号:預託金返還請求事件
防衛庁石油製品談合事件,最高二小決,平成17.11.21,3,4,0,,平成１６年（あ）１４７８号:私的独占の禁止及び公正取引の | 平成１６年（受）１４３４号:損害賠償請求事件 | 平成１７年（受）７２１号:診療費等請求事件
顔真卿自書建中告身帖事件,最高二小判,昭和59.1.20,3,4,0,,昭和５７年（あ）１４００号:公職選挙法違反被告事件 | 昭和５８年（あ）５９３号:公職選挙法違反 | 昭和５８年（オ）１７１号:書籍所有権侵害禁止請求上告事
シェル石油事件,最高二小判,昭和59.11.26,2,3,0,,昭和５５年（オ）１２１５号: | 昭和５６年（行ツ）８３号:弁済供託申請却下処分取消請求
断食道場事件,最高三小判,平成2.3.6,5,3,0,,平成１年（オ）１１３１号:離婚請求上告事件 | 平成１年（行ツ）１７４号:審決取消請求事件 | 昭和６１年（オ）６４８号:損害賠償 | 昭和６３年（オ）９６０号:損害賠償請求事件 | 昭和６３年（行ツ）１０２号:不当労働行為救済命令取消請求
早稲田大学江沢民講演会名簿提出事件,最高二小判,平成15.9.12,5,3,0,,平成１４年（オ）１５４１号／平成１４年（受）１５６４号: | 平成１４年（受）１６５６号:損害賠償等請求事件 | 平成１４年（受）５４８号: | 平成１５年（受）２４１号: | 平成１５年（行フ）１号:
東京地裁厚生部事件,最高二小判,昭和35.10.21,6,2,0,,昭和２４年（オ）２９５号:仮処分異議上告事件 | 昭和３１年（オ）８３５号:売掛代金請求上告事件 | 昭和３２年（オ）９０７号:保証債務履行請求 | 昭和３５年（オ）３２３号:家屋明渡請求事件 | 昭和３５年（オ）３９１号:約束手形金請求事件 | 昭和３５年（オ）７１１号:市議会議員当選の効力に関する
甲野堂薬局事件,最高一小判,平成26.3.6,5,2,0,,平成２４年（受）１３３号:損害賠償請求上告事件 | 平成２５年（オ）１６６３号／平成２５年（受）２０４１号:損害賠償請求事件 | 平成２５年（受）１９７号:地位不存在等確認請求本訴、時 | 平成２６年（オ）１２１号／平成２６年（受）１５６号:損害賠償請求事件 | 平成２６年（行ツ）１０号／平成２６年（行ヒ）１６号:不当労働行為再審査棄却命令取
予防訴訟,最高一小判,平成24.2.9,3,11,0,,平成２２年（オ）８４５号／平成２２年（受）１０４５号:事前求償権行使等請求事件 | 平成２３年（受）２０２９号:土地明渡請求事件 | 平成２３年（行ツ）１７７号／平成２３年（行ツ）１７８号／平成２３年（行ヒ）１８２号:国歌斉唱義務不存在確認等請求
デラウェア州法LPS事件と英領バミューダ法LPS事件,最高二小判,平成27.7.17,4,6,0,,平成２５年（行ヒ）１６６号:所得税更正処分取消等、所得税 | 平成２７年（オ）５９６号／平成２７年（受）７３８号:建物収去土地明渡請求事件
市議会議員が所属会派に提出した政務調査費にかかる調査研究報告書及びその添付書類が民事訴訟,最高一小決,平成17.11.10,2,5,0,,平成１５年（受）２８１号:損害賠償請求事件 | 平成１７年（行フ）２号:文書提出命令申立却下決定に対
建築請負人からの注文者に対する請負契約に係る建物の所有権保存登記抹消登記手続請求訴訟の提起及び右訴訟,最高一小判,平成11.11.25,3,5,0,,平成１１年（オ）１４１７号／平成１１年（受）１１９０号:損害賠償請求事件 | 平成８年（オ）１８２５号:損害賠償請求上告事件 | 平成８年（オ）７１８号:建物保存登記抹消登記手続等請
いわゆるエンタープライス寄港阻止佐世保闘争事件,最高三小判,昭和57.11.16,3,4,0,,昭和５６年（あ）５６１号:道路交通法違反、公務執行妨害 | 昭和５６年（オ）１０１５号:株式返還、委託売買清算差額金 | 昭和５７年（オ）５９８号:認知請求事件
に当たるとして人格権的権利に基づき同土地上の工作物の撤去を求める訴訟,最高一小判,平成18.3.23,3,4,0,,平成１５年（オ）４２２号／平成１５年（受）４２８号:損害賠償請求上告事件 | 平成１５年（受）１８８６号:工作物撤去等請求事件 | 平成１８年（オ）２８５号:過納税額返還等請求事件
モンタージュ写真事件,最高二小判,昭和61.5.30,3,4,0,,昭和５８年（オ）５１６号:損害賠償請求事件 | 昭和５８年（オ）６２１号:損害賠償請求事件 | 昭和６１年（行ツ）１６号:
リーダーズ・ダイジェスト事件,,平成1.3.27,12,4,0,,昭和５８年（ワ）７８４６号:不当労働行為救済命令取消請求 | 昭和５９年（行ウ）１１０号:損害賠償請求事件 | 昭和６０年（ワ）６７７７号:特許権侵害差止等請求事件 | 昭和６１年（ワ）６６９号:預金払戻請求事件 | 昭和６２年（ネ）１９３号:損害賠償請求控訴事件 | 昭和６２年（ネ）２７６４号:貸金請求控訴事件
建築主事による構造計算書の耐震偽装に関する国家賠償訴訟,最高三小判,平成25.3.26,3,4,0,,平成２２年（受）２１０１号:損害賠償請求事件 | 平成２３年（受）１４９６号:損害賠償請求本訴、受払金請求 | 平成２３年（受）１５２４号／平成２３年（受）１５２５号:再生債権査定異議事件
留置したことに対する国家賠償請求訴訟,最高二小判,平成8.3.8,4,4,0,,平成４年（オ）６７３号:婚姻無効確認請求事件 | 平成４年（オ）７７号:損害賠償請求事件 | 平成４年（オ）７８号:国外退去強制令書発付処分取消 | 平成７年（行ツ）７４号:進級拒否処分取消、退学命令処
貸金の支払を求める訴訟,最高二小判,令和1.7.5,2,4,0,,平成３０年（受）１３８７号:登記引取等請求事件 | 平成３１年（受）５１１号:損害賠償請求事件
香港高等法院がした訴訟,最高三小判,平成10.4.28,3,4,0,,平成５年（行ツ）５３号:損害賠償等請求事件 | 平成６年（オ）１８３８号:執行判決請求事件 | 平成６年（オ）２３７８号:特許権侵害行為停止等請求事件
だいにち堂事件,最高三小判,令和4.3.8,2,3,0,,令和２年（オ）１１９１号／令和２年（受）１４６４号:国家賠償等請求事件 | 令和３年（行ツ）３３号:措置命令処分取消請求事件
ゴルフ会員権贈与事件,最高三小判,平成17.2.1,3,3,0,,平成１３年（行ヒ）２７６号:所得税更正処分取消請求上告事 | 平成１４年（オ）１７４７号／平成１４年（受）１７７７号:損害賠償請求事件 | 平成１７年（し）７号:損害賠償請求控訴事件
三菱重工長崎造船所事件,最高三小判,昭和61.12.16,3,3,0,,昭和５５年（行ツ）１４７号:土地滅失登記処分取消請求事件 | 昭和６０年（オ）４１号:掲示板、電話設備、構内郵便集 | 昭和６１年（行ツ）７２号:慰藉料損害賠償請求控訴、同附
オウブンシャホールディング事件,,平成18.1.24,9,2,0,,平成１５年（受）１６５３号:生命保険証券及び傷害保険証券 | 平成１６年（受）４２４号:不当利得返還請求事件 | 平成１６年（行ウ）３号:不当利得返還代位等請求事件 | 平成１７年（ネ）３０２号:損害賠償請求控訴事件 | 平成１７年（ワ）３４１号:損害賠償請求事件 | 平成１７年（ワ）６８５６号:損害賠償請求事件
他人名義で根抵当権設定登記を有する債権者が抵当不動産の譲渡後に開始された不動産競売事件,最高一小判,昭和59.12.20,2,2,0,,昭和５８年（オ）１０４４号:配当異議事件 | 昭和５９年（オ）７０２号:養子縁組無効確認請求事件
地公災基金愛知県支部長事件,最高三小判,平成8.3.5,3,2,0,,平成４年（オ）７０１号:損害填補請求事件 | 平成４年（行ツ）７０号:公務災害認定外裁決取消請求上 | 平成８年（行ツ）３号:不当利得請求事件
岐阜商工信用組合事件,最高二小判,昭和52.6.20,5,2,0,,昭和４８年（オ）１１１３号:金銭消費貸借契約無効確認請求 | 昭和５１年（あ）５０１号:贈賄、受託収賄 | 昭和５１年（オ）１０４１号:約束手形金請求事件 | 昭和５１年（オ）１２９３号:貸金損害賠償請求控訴、同附帯 | 昭和５２年（オ）２６８号:軍備保有軍事費支出等禁止（戦
主基斎田抜穂の儀参列住民訴訟,最高一小判,平成14.7.11,4,4,0,,平成１１年（受）６０２号:保証債務請求事件 | 平成１１年（行ツ）９３号:住民訴訟請求事件 | 平成１４年（オ）５６４号／平成１４年（受）５６６号:配当異議事件 | 平成１４年（受）５３８号:損害賠償請求事件
住友軽金属工業事件,最高三小判,平成18.4.11,2,4,0,,平成１４年（受）１１９９号:保険金請求権確認請求上告事件 | 平成１４年（受）１３５８号／平成１４年（受）１３５９号:保険金引渡請求事件
労災保険審査会への再審査請求を経ずになされた休業補償等不支給処分取消訴訟,最高一小判,平成7.7.6,2,4,0,,平成４年（行ツ）６８号:休業補償給付等不支給処分取消 | 平成５年（行ツ）２０２号:懲戒免職処分取消請求上告事件
境界確定の訴えと固有必要的共同訴訟,最高三小判,平成11.11.9,3,4,0,,平成９年（オ）４２６号:求償債権請求事件 | 平成９年（オ）８７３号:土地境界確定請求事件 | 平成９年（オ）９６号:地位確認請求事件
NHK記者証言拒絶事件,最高三小決,平成18.10.3,2,3,0,,平成１８年（オ）１３１５号／平成１８年（受）１５２１号:退学処分無効確認等請求事件 | 平成１８年（許）１９号:証拠調べ共助事件における証人
はみ出し自販機による道路不法占有者に対する債権不行使と住民訴訟,最高二小判,平成16.4.23,3,3,0,,平成１２年（行ヒ）２４６号:不作為の違法確認等請求事件 | 平成１４年（受）２４８号:管理費等請求事件 | 平成１５年（オ）１７４７号:解雇無効確認及び賃金支払請求
ウーバー・ジャパンほか1社事件,,令和4.11.25,30,3,0,,令和２年（ネ）４０９号:損害賠償請求控訴事件 | 令和２年（ワ）１１６８６号:未払賃金等請求事件 | 令和２年（ワ）２２２７５号:損害賠償請求事件 | 令和２年（ワ）２６２５号:損害賠償請求事件 | 令和２年（ワ）５１０６号:共同不法行為損害賠償請求事件 | 令和２年（ワ）８４８号:損害賠償請求事件
キルビー事件,最高三小判,平成12.4.11,2,3,0,,平成１０年（オ）１８号:損害賠償請求事件 | 平成１０年（オ）３６４号:債務不存在確認請求事件
加治川水害訴訟,最高一小判,昭和60.3.28,4,3,0,,昭和５６年（オ）２９２号:土地所有権移転登記手続請求事 | 昭和５７年（オ）５６０号:損害賠償請求上告事件 | 昭和５８年（行ツ）１０１号:審決取消請求上告事件 | 昭和５９年（あ）１６００号:威力業務妨害、傷害
