journal_canonical,ndl_status,succession_event,related_ncid
清和研究論集,継続刊行中,,AN10477801
CCR,継続刊行中,,AA12521334
世界,継続刊行中,succeeds_from:東京工芸大学芸術学部紀要(ISSN:1341-8696),AN10507753
企業法研究,刊行終了,,AN10138464
判例地方自治,継続刊行中,,AN10016795
北大法政ジャーナル,刊行終了,succeeds_from:北大法学研究科ジュニア・リサーチ・ジャーナル,
地方財務,継続刊行中,,AN00000857
季刊教育法,刊行終了,,AN00049619
月報全青司,継続刊行中,,
社会の発展と権利の創造――民法・環境法学の最前線 淡路剛久先生古稀祝賀』所収p,not_found,,
日独憲法学の創造力――栗城壽夫先生古稀記念(上)』所収p,not_found,,
現代民事法学の理論(下)――西原道雄先生古稀記念』所収p,not_found,,
民法学の軌跡と展望――國井和郎先生還暦記念論文集』所収p,not_found,,
公法学の法と政策(上)――金子宏先生古稀祝賀』所収p,not_found,,
財産法学の新展開――幾代通先生献呈論集』所収p,not_found,,
憲法の基本問題(別冊法学教室 基本問題シリーズ,not_found,,
現代消費者法,刊行終了,,AA12399682
九州産業大学商経論叢,刊行終了,succeeded_by:商経論叢; succeeds_from:九州商科大学商経論叢,
横浜商大論集,刊行終了,,AN00246711
戦後法学と憲法――歴史・現状・展望 長谷川正安先生追悼論集』所収p,not_found,,
民法学における古典と革新――藤岡康宏先生古稀記念論文集』所収p,not_found,,
法学研究科論集(北海学園大学大学院),継続刊行中,,AA11436863
現代民事法学の構想――内山尚三先生追悼』所収p,not_found,,
現代社会と民法学の動向(上)――不法行為 加藤一郎先生古稀記念』所収p,not_found,,
これからの家族(法学セミナー増刊・総合特集シリーズ,not_found,,
経済法学会年報,継続刊行中,succeeds_from:国際経済法(ISSN:0918-7987),AN1051859X
現代法律実務の諸問題<令和元年度研修版>(日弁連研修叢書)』所収p,not_found,,
神奈川法学(学生論文集),継続刊行中,,AN00043725
駒沢大学大学院公法学研究,不明,,AN00093643
青山学院大学総合研究所法学研究センター研究叢書,刊行終了,,AN10405378
日本民法学の形成と課題(下)――星野英一先生古稀祝賀』所収p,not_found,,
民事法学の新展開――鈴木祿彌先生古稀記念』所収p,not_found,,
現代法律実務の諸問題(上)<平成元年版>(日弁連研修叢書)』所収p,not_found,,
平成法学(福山平成大学),刊行終了,,AN10576508
大憲論叢,刊行終了,succeeds_from:西日本短期大学法学会大憲論叢,
沖大法学,刊行終了,split:沖大論叢,AN00033302
法学政治学研究(成蹊大学大学院),継続刊行中,,AN00126800
民事法学の基礎的課題――植木哲先生古稀記念論文集』所収p,not_found,,
改憲を問う――民主主義法学からの視座(法律時報増刊)』所収p,not_found,,
比較と歴史のなかの日本法学――比較法学への日本からの発信(早稲田大学比較法研究所叢書,not_found,,
現代企業法学の研究――筑波大学大学院企業法学専攻,not_found,,
現代社会と民法学の動向(下)――民法一般 加藤一郎先生古稀記念』所収p,not_found,,
学習院大学法学部研究年報,刊行終了,succeeded_by:学習院大学法学会雑誌(ISSN:1341-7444),AN00038871
国際法判例百選<第,not_found,,
医療過誤判例百選<第,not_found,,
中小企業信用保険公庫月報,刊行終了,succeeded_by:保険公庫月報,AN00370550
企業法学の展望――大野正道先生退官記念』所収p,not_found,,
行政法学の未来に向けて――阿部泰隆先生古稀記念』所収p,not_found,,
"憲法改正問題――いま,憲法学から改憲論議を問う(法律時報増刊)』所収p",not_found,,
現代民事法学の理論(上)――西原道雄先生古稀記念』所収p,not_found,,
現代社会の家族と法――第,not_found,,
産業経済研究,刊行終了,succeeded_by:経済社会研究(ISSN:2187-3712),
事件処理に必要な税法の知識――親族・相続編(専門講座講義録)(研修叢書,not_found,,
調査時報,継続刊行中,absorbed:農政情報 251号-,AN00370233
国際法判例百選(別冊ジュリスト,not_found,,
徳山大学総合経済研究所紀要,刊行終了,absorbed:徳山大学総合経済研究所研究所報 no. 1-; succeeded_by:徳山大学総合研究所紀要,AN00172841
憲法の尊厳――奥平憲法学の継承と展開』所収p,not_found,,
法創造の比較法学――先端的課題への挑戦』所収p,not_found,,
朝日大学大学院法学研究論集,不明,,AA11177142
教育基本法改正の動向(日本教育法学会年報,not_found,,
教育法制の再編と教育法学の将来(日本教育法学会年報,not_found,,
日本民法学の形成と課題(上)――星野英一先生古稀祝賀』所収p,not_found,,
女性そして男性(法学セミナー増刊 総合特集シリーズ,not_found,,
市民のための法律家(法学セミナー増刊 総合特集シリーズ,not_found,,
訟務月報,継続刊行中,,
民主主義法学と研究者の使命――広渡清吾先生古稀記念論文集』所収p,not_found,,
慶応の法律学 公法,not_found,,
現時法学の理論と実践――伊東乾教授喜寿記念論文集』所収p,not_found,,
ドイツ民法典の編纂と法学』所収p,not_found,,
投資者保護の法理(神戸学院大学法学研究叢書,not_found,,
特技懇,刊行終了,succeeds_from:特許庁技術懇話会会報,
刑法判例百選,not_found,,
季刊現代警察,刊行終了,,AN00069354
松山商大論集,刊行終了,succeeded_by:松山大学論集,AN00232794
法学研究年誌(東北学院大学),継続刊行中,,AN00200958
私的独占規制の現代的課題(日本経済法学会年報,not_found,,
関西大学法学研究所研究所報,刊行終了,,AN10038845
情報社会の公法学――川上宏二郎先生古稀記念論文集』所収p,not_found,,
持株会社と独占禁止法(経済法学会年報,not_found,,
改正独占禁止法の,not_found,,
法と政治の理論と現実(下)――関西大学法学部百周年記念論文集』所収p,not_found,,
現代私法学の課題と展望(上)――林良平先生還暦記念論文集』所収p,not_found,,
労働法の知識と実務,not_found,,
民事交通事故訴訟の実務,not_found,,
日弁連研修叢書 現代法律実務の諸問題(下)<昭和,not_found,,
酒田短期大学研究論集,刊行終了,,AN10381462
京都学園大学経済経営学部論集,刊行終了,succeeded_by:京都先端科学大学経済経営学部論集(ISSN:2435-046X),AA12738529
弘前大学経済研究,刊行終了,absorbed:弘前大学経済学会報,AN00211739
東亜法学論叢,刊行終了,,AN10562503
特許権侵害に基づく損害賠償(日本工業所有権法学会年報,not_found,,
ネットワーク産業の規制改革と競争政策(日本経済法学会年報,not_found,,
優越的地位の濫用規制の展開(日本経済法学会年報,not_found,,
日本大学法学部創設,not_found,,
分権時代と自治体法学』所収p,not_found,,
変容する世界と法律・政治・文化(上)――北海学園大学法学部,not_found,,
市民法学の歴史的・思想的展開――原島重義先生傘寿』所収p,not_found,,
融合する法律学(上)――筑波大学法科大学院創設記念・企業法学専攻創設,not_found,,
現代私法学の課題――伊藤進教授古稀記念論文集』所収p,not_found,,
独占禁止法改正(日本経済法学会年報,not_found,,
法学部開校記念論文集』所収p,not_found,,
公益事業の規制改革と競争政策(日本経済法学会年報,not_found,,
変動期における法と国際関係――一橋大学法学部創立,not_found,,
公法学の法と政策――金子宏先生古稀祝賀(下)』所収p,not_found,,
教育立法と学校自治・参加(日本教育法学会年報,not_found,,
技術革新・技術取引と競争政策(日本経済法学会年報,not_found,,
規制緩和と消費者(経済法学会年報,not_found,,
手続法的行政法学の理論』所収p,not_found,,
借地・借家制度の検証――意向調査の分析と法改正の方向(関西大学法学研究所研究叢書,not_found,,
企業・現代社会・法――現代企業法・法学入門』所収p,not_found,,
官庁と官僚(法学セミナー増刊 総合特集シリーズ,not_found,,
現代人権論(公法学研究,not_found,,
賠償医学,刊行終了,succeeded_by:賠償科学(ISSN:1344-2120),AN10066443
季刊科学と思想,刊行終了,,AN00049539
独占禁止法のエンフォースメント――新たな課題に対して(日本経済法学会年報,not_found,,
競争法と消費者(日本経済法学会年報,not_found,,
租税憲法学の展開』所収p,not_found,,
不当な取引制限規制の現代的展開(日本経済法学会年報,not_found,,
持続可能な社会への転換期における法と法学(法社会学,not_found,,
企業結合規制の新たな課題(日本経済法学会年報,not_found,,
知的財産と独占禁止法(日本経済法学会年報,not_found,,
独禁法執行のための行政手続と司法審査――公取委の審判制度廃止論との関連において(日本経済法学会年報,not_found,,
慶応の法律学 商事法――慶応義塾創立,not_found,,
優越的地位の濫用(日本経済法学会年報,not_found,,
企業結合規制の再検討(日本経済法学会年報,not_found,,
市民法学の課題と展望――清水誠先生古稀記念論集』所収p,not_found,,
私法学の再構築(北海道大学法学部ライブラリー,not_found,,
金融・証券市場の規制と競争(経済法学会年報,not_found,,
日本企業の構造・行動と法(経済法学会年報,not_found,,
流通と法――市場開放と流通問題(経済法学会年報,not_found,,
知的財産権と独占禁止法(経済法学会年報,not_found,,
近代私法学の形成と現代法理論』所収p,not_found,,
人権と報道を考える(法学セミナー増刊総合特集シリーズ,not_found,,
日本工業所有権法学会年報,継続刊行中,,AN00188965
熊本商大論集,刊行終了,,AN0006647X
法律実務と税金の諸問題(専門講座講義録)(研修叢書,not_found,,
信州大学経済学論集,刊行終了,merged:信州大学経法論集(ISSN:2432-5376),AN00121181
共済と保険,刊行終了,succeeds_from:共済保険研究,AN00293052
北海学園大学学園論集,刊行終了,,AA12028545|AN0022871X|AN10340239
東亜大学紀要,刊行終了,absorbed:総合人間科学(ISSN:1346-1850),AA11884117
沖縄大学法経学部紀要,刊行終了,,AA11520551
競争法とフェアネス(日本経済法学会年報,not_found,,
流通・取引慣行と独禁法――新たな課題に向けて(日本経済法学会年報,not_found,,
立憲主義の危機と教育法(日本教育法学会年報,not_found,,
神奈川大学法学部,not_found,,
不公正な取引方法規制の再検討(日本経済法学会年報,not_found,,
慶応の法律学 民事法――慶応義塾創立,not_found,,
慶応の法律学 民事手続法――慶応義塾創立,not_found,,
法学会誌(明治大学),不明,,AN00410713
松山法学,刊行終了,,AA11461929
独占禁止法のエンフォースメント(日本経済法学会年報,not_found,,
教育改革と地方分権(日本教育法学会年報,not_found,,
競争秩序と民事法(日本経済法学会年報,not_found,,
現代民法学の諸問題――玉田弘毅先生古稀記念論文集』所収p,not_found,,
日本の取引慣行と独禁法(経済法学会年報,not_found,,
名城大学創立,not_found,,
法学・政治学の動向――北海学園大学法学部,not_found,,
石油カルテル最高裁刑事判決(経済法学会年報,not_found,,
法と政治の現代的課題(大阪大学法学部創立,not_found,,
政治学論集,刊行終了,,AN00127188
公法の諸問題,not_found,,
企業結合規制の理論的課題(日本経済法学会年報,not_found,,
戦後日本憲法学,not_found,,
次世代への挑戦――法学部半世紀の伝統を糧に 北海学園大学法学部,not_found,,
立正大学法学部創立,not_found,,
人権の刑事法学――村井敏邦先生古稀記念論文集』所収p,not_found,,
転換期の法と文化――京都学園大学法学部,not_found,,
変容する社会の法と理論――上智大学法学部創設,not_found,,
融合する法律学(下)――筑波大学法科大学院創設記念・企業法学専攻創設,not_found,,
現代先端法学の展開――田島裕教授記念』所収p,not_found,,
社会的規制と競争政策(日本経済法学会年報,not_found,,
教育基本法,unknown,,
現代の法と政治――立正大学法学部創立,not_found,,
独協大学法学部創設,not_found,,
独禁法の執行力の強化(経済法学会年報,not_found,,
仮の権利保護をめぐる諸問題――労働仮処分・出版差止仮処分を中心にして(慶応義塾大学法学研究会叢書,not_found,,
国際通商と法――貿易摩擦を素材として(経済法学会年報,not_found,,
法学政治学の新機軸――法学部創設,not_found,,
情報・通信と競争政策(経済法学会年報,not_found,,
法学ガイダンス’,刊行終了,,
現代私法学の課題と展望(中)――林良平先生還暦記念論文集』所収p,not_found,,
法学と政治学の現代的展開(岡山大学創立,not_found,,
会社法の法的論点と実務――弁護士専門研修講座』所収p,not_found,,
法律事務のA to Z――事務職員研修講義録,not_found,,
鹿児島経大論集,刊行終了,succeeded_by:鹿児島経済論集,AN00039604
ビジネスサイエンス,刊行終了,,
明治大学短期大学紀要,刊行終了,,AN00239035
ボーダレスエコノミーと特許権の属地性(日本工業所有権法学会年報,not_found,,
交通法学の生成と展開(交通法研究,not_found,,
名古屋学院大学法学部開設記念論文集』所収p,not_found,,
競争法の国際的執行(日本経済法学会年報,not_found,,
現代における法と政治の探求――香川大学法学部創設,not_found,,
憲法の理論を求めて――奥平憲法学の継承と展開』所収p,not_found,,
新自由主義教育改革と教育三法(日本教育法学会年報,not_found,,
関西大学法学会誌,不明,,AN0004717X
区分所有建物の法的課題(関西大学法学研究所研究叢書,not_found,,
日韓法政システムの多様性と共通性(関西大学法学研究所研究叢書,not_found,,
公共調達と独禁法・入札契約制度等(日本経済法学会年報,not_found,,
教育法学と子どもの人権――兼子仁教授退職記念論集』所収p,not_found,,
法学と政治学の諸相――熊本大学法学部創立,not_found,,
戦後憲法学の展開――和田英夫教授古稀記念論集』所収p,not_found,,
法学の諸問題』所収p,not_found,,
西ドイツ比較法学の諸問題(日本比較法研究所翻訳叢書,not_found,,
中央大学,刊行終了,succeeded_by:白門国文,
学校教育の理念と現実(日本教育法学会年報,not_found,,
独禁法違反と民事責任(経済法学会年報,not_found,,
現代私法学の課題と展望(下)――林良平先生還暦記念論文集』所収p,not_found,,
"法学セミナー増刊,p",刊行終了,succeeded_by:法セミ,AN00224661|AN10333448|AN10334010
法学研究,刊行終了,,AN10405378
平成,not_found,,
現代法律実務の諸問題(下)<平成元年版>(日弁連研修叢書)』所収p,not_found,,
最高裁判所判例解説――刑事篇<平成元年度>』所収p,not_found,,
明大商学論叢,継続刊行中,succeeds_from:經濟及商業,AN00239603
東京商船大学研究報告,刊行終了,succeeds_from:商船大学研究報告. 人文科学,AN00161266
法学教育研究会誌,刊行終了,,AA12743278
国際法学の諸相――到達点と展望 村瀬信也先生古稀記念』所収p,not_found,,
現代市民法学と民法典(龍谷大学社会科学研究所叢書,not_found,,
明治大学法学部創立,not_found,,
憲法における普遍性と固有性――憲法学会,not_found,,
法学と政治学の新たなる展開――岡山大学創立,not_found,,
新教育基本法と教育法学(日本教育法学会年報,not_found,,
教育基本法体制の危機と教育法(日本教育法学会年報,not_found,,
教育における公共性の再構築(日本教育法学会年報,not_found,,
新世紀の公法学――手島孝先生古稀祝賀論集』所収p,not_found,,
教育改革」と教育基本法制(日本教育法学会年報,not_found,,
先端技術分野における特許保護(日本工業所有権法学会年報,not_found,,
転換期の法学・政治学(北海学園大学法学部,not_found,,
法学の諸課題』所収p,not_found,,
比較公法学の諸問題――伊藤満先生喜寿記念』所収p,not_found,,
法と政治の現代的課題――明治学院大学法学部,not_found,,
大東文化大学法学部創設,not_found,,
インターネットの法律実務(弁護士専門研修講座)』所収p,not_found,,
金融商品取引法の知識と実務(弁護士専門研修講座)』所収p,not_found,,
消費者法の知識と実務(弁護士専門研修講座)』所収p,not_found,,
不動産法の知識と実務(弁護士専門研修講座)』所収p,not_found,,
建築紛争の知識と実務(弁護士専門研修講座)』所収p,not_found,,
倒産法の実務,not_found,,
離婚事件の実務(弁護士専門研修講座)』所収p,not_found,,
民事交通事故訴訟の実務――保険実務と損害額の算定(弁護士専門研修講座)』所収p,not_found,,
文部時報,刊行終了,succeeded_by:文部科学時報,AN00363522
日本大学法学部知財ジャーナル,刊行終了,succeeded_by:日本大学知財ジャーナル(ISSN:2186-6007),AA1231492X
日本福祉大学研究紀要,継続刊行中,split:日本福祉大学研究紀要,AA11400593
桐蔭法科大学院紀要,刊行終了,,AA12132026
教育における平等と「市民社会」(日本教育法学会年報,not_found,,
新時代の刑事法学(下)――椎橋隆幸先生古稀記念』所収p,not_found,,
新時代の刑事法学(上)――椎橋隆幸先生古稀記念』所収p,not_found,,
教育の国家責任とナショナル・ミニマム(日本教育法学会年報,not_found,,
法と政治の現代的諸相――松山大学法学部,not_found,,
"法実務,法理論,基礎法学の再定位――法学研究者養成への示唆』所収p",not_found,,
白山法学(東洋大学法科大学院),刊行終了,,AA12036510
営業秘密の保護(日本工業所有権法学会年報,not_found,,
香川大学法学部創設,not_found,,
国法学の諸問題――宮田豊先生古稀記念』所収p,not_found,,
法と政治――,not_found,,
警察の現在(法学セミナー増刊総合特集シリーズ,not_found,,
マス・メディアの現在(法学セミナー増刊総合特集シリーズ,not_found,,
これからの地方自治(法学セミナー増刊総合特集シリーズ,not_found,,
情報・インターネット法の知識と実務(弁護士専門研修講座)』所収p,not_found,,
高齢者をめぐる法律問題(弁護士専門研修講座)』所収p,not_found,,
中小企業法務の実務(弁護士専門研修講座)』所収p,not_found,,
労働法の知識と実務(弁護士専門研修講座)』所収p,not_found,,
独占禁止法の知識と実務(弁護士専門研修講座)』所収p,not_found,,
会社法の今日的課題と実務(弁護士専門研修講座)』所収p,not_found,,
倒産法の実務――破産手続から管財業務の破産手続を中心に(弁護士専門研修講座)』所収p,not_found,,
相続・遺言――遺産分割と弁護士実務(弁護士専門研修講座)』所収p,not_found,,
市民社会と法をめぐる今日的課題<平成元年版>(日司連研修叢書)』所収p,not_found,,
市民社会と法をめぐる今日的課題<昭和,not_found,,
弁護士研修講座――平成元年度講義録』所収p,not_found,,
京都大学教養部政法論集,刊行終了,,AN00129820
刑弁情報,継続刊行中,,
奈良法学会雑誌,不明,,AN10021729
帯広畜産大学学術研究報告 人文社会科学論集,unknown,,
永世中立,刊行終了,,
新型コロナウイルスと法学(法律時報増刊)』所収p,not_found,,
法の基層と展開――法学部教育の可能性 桐蔭横浜大学法学部,not_found,,
特許制度と競争政策(日本工業所有権法学会年報,not_found,,
商標の保護(日本工業所有権法学会年報,not_found,,
解釈法学と政策法学』所収p,not_found,,
刑事法学の現代的展開――斎藤靜敬先生古稀祝賀記念論文集』所収p,not_found,,
現代の法学と政治学の諸問題――川上宏二郎先生退職記念論文集』所収p,not_found,,
"憲法と有事法制――いま,憲法学から有事法制を問う(法律時報増刊)』所収p",not_found,,
経営法学年報(福山平成大学),刊行終了,,AA11471310
環境法学の挑戦――淡路剛久教授・阿部泰隆教授還暦記念』所収p,not_found,,
刑事法学の潮流と展望――大野眞義先生古稀祝賀』所収p,not_found,,
スポーツ法学専門分科会年報,不明,,AA11425390
教育参加と子どもの権利条約(日本教育法学会年報,not_found,,
桐蔭法学(桐蔭学園横浜大学),継続刊行中,,AN10465802
公法学の開拓線――手島孝先生還暦祝賀論集』所収p,not_found,,
現代法学の諸相――岡山商科大学法経学部創設記念論集』所収p,not_found,,
"比較憲法学研究創刊号,p",not_found,,
司法省法学校におけるボアソナードの講義に関する研究(関西大学法学研究所研究叢書,not_found,,
今日の最高裁判所――原点と現点(法学セミナー増刊)』所収p,not_found,,
憲法と民事手続法(慶応義塾大学法学研究会叢書,not_found,,
上智大学法学部創設,not_found,,
熊本学園大学論集 総合科学,刊行終了,,AA1277239X|AN1046553X
租税争訟をめぐる実務の知識(弁護士専門研修講座)』所収p,not_found,,
"相続関係事件の実務――寄与分・特別受益,遺留分,税務処理(弁護士専門研修講座)』所収p",not_found,,
債権回収の知識と実務(弁護士専門研修講座)』所収p,not_found,,
企業法務と組織内弁護士の実務(弁護士専門研修講座)』所収p,not_found,,
消費者法の法的論点と実務(弁護士専門研修講座)』所収p,not_found,,
クーリング・オフと抗弁権(国民生活センター研修副読本「消費者保護講座」シリーズ)』所収p,not_found,,
駒沢大学北海道教養部研究紀要,刊行終了,succeeds_from:北海道駒沢大学研究紀要,AN10172688
最高裁判所判例解説――刑事篇<令和,not_found,,
内外教育,刊行終了,succeeded_by:内外教育,
城西大学経済経営紀要,継続刊行中,,AN0011497X
帝京女子短期大学紀要,刊行終了,succeeded_by:帝京大学短期大学紀要(ISSN:1344-4212),AN00149759
教育人権保障の到達点と課題(日本教育法学会年報,not_found,,
持続可能性環境法学への誘い――浅野直人先生喜寿記念(環境法研究別冊)』所収p,not_found,,
商標権の効力の制限(日本工業所有権法学会年報,not_found,,
刑事法の諸問題,not_found,,
立法の法哲学――立法学の再定位(法哲学年報,not_found,,
自由と安全の刑事法学――生田勝義先生古稀祝賀論文集』所収p,not_found,,
日独公法学の挑戦――グローバル化社会の公法』所収p,not_found,,
商標の使用と権利侵害(日本工業所有権法学会年報,not_found,,
不当な支配」と教育の自由(日本教育法学会年報,not_found,,
人間回復の刑事法学』所収p,not_found,,
子どもと教師をめぐる教育法学の新課題(日本教育法学会年報,not_found,,
"国際法学の地平――歴史,理論,実証 大沼保昭先生記念論文集』所収p",not_found,,
発展する東アジアと法学の課題』所収p,not_found,,
法と政治の,not_found,,
民主主義法学・刑事法学の展望(下)――小田中聰樹先生古稀記念論文集 刑法・民主主義と法』所収p,not_found,,
"白鴎大学大学院法学研究年報創刊号,p",継続刊行中,,AA12048622
特許関係訴訟と審判(日本工業所有権法学会年報,not_found,,
国家と自由――憲法学の可能性』所収p,not_found,,
教育における<国家>と<個人>(日本教育法学会年報,not_found,,
刑事実体法と裁判手続――法学博士井上正治先生追悼論集』所収p,not_found,,
日独憲法学の創造力――栗城壽夫先生古稀記念(下)』所収p,not_found,,
比較法学の課題と展望――大木雅夫先生古稀記念』所収p,not_found,,
"志学館法学創刊号,p",継続刊行中,,AA11458163
"白鴎法学創刊号,p",継続刊行中,,AN10443264
EC統合とEC法の展開(関西大学法学研究所研究叢書,not_found,,
これからの男の自立(法学セミナー増刊総合特集シリーズ,not_found,,
医事法学叢書,not_found,,
これからの天皇制(法学セミナー増刊 総合特集シリーズ,not_found,,
現代の裁判(法学セミナー増刊 総合特集シリーズ,not_found,,
現代国家と参加(公法学研究,not_found,,
憲法と平和保障(法学セミナー増刊 総合特集シリーズ,not_found,,
現代の弁護士(市民編)(法学セミナー増刊 総合特集シリーズ,not_found,,
法学論叢,継続刊行中,succeeds_from:京都法學會雑誌,AN0022472X
知的財産法研究,刊行終了,succeeds_from:工業所有権法研究(ISSN:0287-3125),AA11839021
子どもをめぐる法律問題(弁護士専門研修講座)』所収p,not_found,,
事業承継(研修叢書,not_found,,
新破産法――破産法・破産規則・改正民事再生法等の解説(研修叢書,not_found,,
労働法の諸問題――過労自殺・解雇・リストラをめぐって(研修叢書,not_found,,
相続紛争処理と弁護士実務(研修叢書,not_found,,
保険の実務学(研修叢書,not_found,,
独占禁止法(専門講座講義録)(研修叢書,not_found,,
弁護士のための製造物責任法(専門講座講義録)(研修叢書,not_found,,
バブル崩壊に伴う法律問題(専門講座講義録)(研修叢書,not_found,,
破産に代わる倒産処理手続(専門講座講義録)(研修叢書,not_found,,
商法改正・商事保全事件と会社関係実務(専門講座講義録)(東弁研修叢書,not_found,,
最近の労働問題――弁護士実務に役立つ労働問題の実践的な解説(専門講座講義録)(研修叢書,not_found,,
新「借地借家法」――法律の概要と弁護士に役立つ実践的な解説(専門講座講義録)(研修叢書,not_found,,
中小企業と会社法――商法違反の惹起する諸問題(研修叢書,not_found,,
不動産譲渡所得課税の実務(専門講座講義録)(研修叢書,not_found,,
離婚事件をめぐる実務上の問題点(専門講座講義録)(研修叢書,not_found,,
保全処分に関する諸問題(研修叢書,not_found,,
軍事民論,刊行終了,,AN00020468
健康と体力,刊行終了,succeeds_from:健康と体力,AN10382272
教育の「貧困化」と教育法(日本教育法学会年報,not_found,,
市民法学の新たな地平を求めて――法哲学・市民法学・法解釈学に関する諸問題 篠原敏雄先生追悼論文集』所収p,not_found,,
知的財産権の帰属(日本工業所有権法学会年報,not_found,,
戦後,unknown,,
教育の政治化と子ども・教師の危機(日本教育法学会年報,not_found,,
現代知的財産法講座,not_found,,
臨床法学セミナー(早稲田大学),継続刊行中,,AA12368714
知的財産法の現状と課題(日本工業所有権法学会年報,not_found,,
グローバル化と法――〈日本におけるドイツ年〉法学研究集会』所収p,not_found,,
刑事法学の現代的課題――阿部純二先生古稀祝賀論文集』所収p,not_found,,
知的財産と先使用権(日本工業所有権法学会年報,not_found,,
教育法制の変動と教育法学(日本教育法学会年報,not_found,,
"鹿児島大学法学論集別冊,p",継続刊行中,split:鹿児島大学社会科学報告(ISSN:0389-0112),AN00040793
特許制度のハーモナイゼーション(日本工業所有権法学会年報,not_found,,
"松山法学創刊号,p",刊行終了,,AA11461929
転換期の刑事法学――井戸田侃先生古稀祝賀論文集』所収p,not_found,,
デザインの法的保護(日本工業所有権法学会年報,not_found,,
法学教育におけるコンピュータの利用(関西大学法学研究所研究叢書,not_found,,
刑事法学の現代的状況――内藤謙先生古稀祝賀』所収p,not_found,,
EC統合から欧州連合への展望(関西大学法学研究所研究叢書,not_found,,
租税法学と関連学問領域(租税法研究,not_found,,
大東文化大学法学部大学院創設,not_found,,
これからの精神医療(法学セミナー増刊総合特集シリーズ,not_found,,
東洋法学会会報,not_found,,
法と政治の理論と現実(上)――関西大学法学部百周年記念論文集』所収p,not_found,,
韓国法学論文選,not_found,,
教育改革の動向と教育法(日本教育法学会年報,not_found,,
教育法学の現代的課題(法政大学現代法研究所叢書,not_found,,
現代の弁護士(司法編)(法学セミナー増刊 総合特集シリーズ,not_found,,
行政法の知識と実務,not_found,,
医療過誤訴訟の専門知識とノウハウ(弁護士専門研修講座)』所収p,not_found,,
都市再開発・土地収用・土地区画整理の実務(専門講座講義録)(東弁研修叢書,not_found,,
市民社会と法をめぐる今日的課題<平成,not_found,,
民事弁護における訴訟活動(専門講座講義録)(研修叢書,not_found,,
不動産取引に関する行政法規(専門講座講義録)(研修叢書,not_found,,
知っておきたい身近なM&Aの利用方法とその要点――専門講座講義録(研修叢書,not_found,,
少年法判例百選(別冊ジュリスト,not_found,,
北海道医療大学人間基礎科学論集,刊行終了,succeeds_from:北海道医療大学基礎教育部論集,AA11498882
広島修大論集,刊行終了,succeeded_by:広島修大論集(ISSN:1883-1400); succeeds_from:広島商大論集. 法文編(ISSN:0387-4842),AN00212866|AN00212913
サプライチェーンにおける特許権侵害(日本工業所有権法学会年報,not_found,,
植物新品種等の知的財産法による保護(日本工業所有権法学会年報,not_found,,
意匠法改正の検討(日本工業所有権法学会年報,not_found,,
憲法施行,not_found,,
特許にすべきものは何か(日本工業所有権法学会年報,not_found,,
刑事法学におけるトポス論の実践――津田重憲先生追悼論文集』所収p,not_found,,
イノベーションと特許政策(日本工業所有権法学会年報,not_found,,
通常実施権の当然対抗(日本工業所有権法学会年報,not_found,,
教育法学,継続刊行中,succeeds_from:日本教育法学会準備委員会ニュース,
刑事法学の新展開――八木國之博士追悼論文集』所収p,not_found,,
発明の本質的部分の保護の適否(日本工業所有権法学会年報,not_found,,
慶応の法律学 刑事法――慶応義塾創立,not_found,,
法哲学と法学教育――ロースクール時代の中で(法哲学年報,not_found,,
変容する世界と法律・政治・文化(下)――北海学園大学法学部,not_found,,
"白山法学(東洋大学法科大学院)創刊号,p",刊行終了,,AA12036510
アジア法文化と国民国家,not_found,,
国際協力の時代の国際法(関西大学法学研究所研究叢書,not_found,,
刑事法学の現実と展開――齊藤誠二先生古稀記念』所収p,not_found,,
"現代法学(東京経済大学)創刊号,p",継続刊行中,,AA11515540
"法学研究科論集(北海学園大学大学院)創刊号,p",継続刊行中,,AA11436863
"経営法学年報(福山平成大学)創刊号,p",刊行終了,,AA11471310
環境法学の生成と未来――山村恒年先生古稀記念論集』所収p,not_found,,
知的財産権と環境(日本工業所有権法学会年報,not_found,,
刑事法学の課題と展望――香川達夫博士古稀祝賀』所収p,not_found,,
EC法と欧州連合の現状(関西大学法学研究所研究叢書,not_found,,
刑事法学の歴史と課題――吉川経夫先生古稀祝賀論文集』所収p,not_found,,
刑事法学の現代的展開(上)刑法編・刑事訴訟編――八木國之先生古稀祝賀論文集』所収p,not_found,,
ナチス法の思想と現実(関西大学法学研究所研究叢書,not_found,,
これからの日米安保(法学セミナー増刊総合特集シリーズ,not_found,,
国際法の基本問題(別冊法学教室 基本問題シリーズ,not_found,,
法学研究(一橋大学),刊行終了,,AN00208111
刑事法学の諸相(下)――井上正治博士還暦祝賀』所収p,not_found,,
教育行政の動向と教育法(日本教育法学会年報,not_found,,
知的財産権訴訟(研修叢書,not_found,,
無体財産権法の実務――専門講座講義録(研修叢書,not_found,,
社会科学論叢,継続刊行中,merged:人文社会論叢. 人文科学篇(ISSN:1344-6061); merged:人文社会論叢. 社会科学篇(ISSN:1345-0255),AA12760335
